Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils
71120K,Cork College Of Commerce,http://corkcollegeofcommerce.ie/,Morrison's Island,Cork,,,Cork,T12H685,214222100,afanning@ccoc.ie,Ms Helen Ryan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,52,57,109
71123Q,Terence Mac Swiney Community College,terencemacswineycc@eircom.net,Hollyhill,Knocknaheeny,Cork,,Cork,T23DY01,214397740,terencemacswineycc@eircom.net,Phil O Flynn,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,86,83,169
71124S,Coláiste Daibhéid,http://www.colaistedaibheid.ie/,An t-Ardán Theas,Corcaigh,,,Cork,T12VP03,214917733,oifig@colaistedaibheid.ie,Tadhg O Laighin,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,107,110,217
76064F,Glanmire Community College,http://www.glanmirecc.ie/,Glanmire,Co. Cork,,,Cork,T45W965,214822377,gmirecol@glanmirecc.ie,Ronan Mc Carthy,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,454,599,"1,053"
76067L,Colaiste Pobail Naomh Mhuire,http://www.buttevantcolaiste.ie/,Cill na Mullach,Co Chorcaí,,,Cork,P51P6Y4,2223733,cpnm@eircom.net,Mr Donal O'Sullivan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,169,193,362
76086P,MARIA IMMACULATA COMMUNITY COLLEGE,http://micc.ie/,Dunmanway,Co Cork,,,Cork,P47AP82,238856030,mariaimmaculatacc@gmail.com,Ms Fiona Nic Chárthaigh,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,242,253,495
76090G,Coláiste Pobail Bheanntraí,http://www.colaistepobailbheanntrai.com/,SESKIN,BANTRY,CO CORK,,Cork,P75VE44,2756434,principal@colaistepobailbheanntrai.com,Dr. Kevin Healy,N,Mixed,Day,Some pupils taught some subjects through Irish,N,N,INTER DENOMINATIONAL,Open,325,321,646
76273O,Gaelcholáiste Charraig Ui Leighin,http://gaelcholaistecul.ie/ga/,Waterpark House,Church Road,Carrigaline,,Cork,P43YW71,214374217,eolas@gaelcholaistecul.ie,Donnchadh Ó Cróinín,N,Mixed,,All pupils taught all subjects through Irish,Y,N,MULTI DENOMINATIONAL,Open,41,33,74
76333G,Carrigtwohill Post Primary,http://www.cocorkvec.ie/,Carrigtwohill,Carrigtwohill,,,Cork,,,,Lorna Dundon,N,Mixed,Day,No subjects taught through Irish,N,U,CATHOLIC,Open,35,72,107
81008W,Ashton School,http://ashton.ie/,Blackrock Road,Cork,,,Cork,T12AF50,214966044,ashton@iol.ie,MR. ADRIAN JOHN LANDEN,N,Mixed,Day,No subjects taught through Irish,N,N,CHURCH OF IRELAND,Open,232,286,518
81009B,Boherbue Comprehensive School,http://www.boherbuecs.com/,Boherbue,Mallow,Co Cork,,Cork,P51TK28,2976032,boherbue1.ias@eircom.net,MRS. MARY O'KEEFFE,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,153,147,300
91386O,Ballincollig Community School,http://www.balcs.ie/,Innishmore,Ballincollig,Co Cork,,Cork,P31E030,214871740,Kathleen.Lowney@balcs.ie,MISS KATHLEEN LOWNEY,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,398,385,783
91387Q,Beara Community School,http://www.bearacs.ie/,Castletownbere,Beara,Co Cork,,Cork,P75AH74,2770177,beara2@eircom.net,MRS. MARY O'SULLIVAN,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,149,163,312
91388S,Carrigaline Community School,http://www.carrigcs.ie/,Waterpark,Carrigaline,Co Cork,,Cork,P43XE06,214372300,info@carrigcs.ie,MR. PAUL RAYMOND BURKE,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,581,563,"1,144"
91390F,Millstreet Community School,http://homepage.eircom.net/~mcsmar/welcome2.htm,Millstreet Town,Co Cork,,,Cork,P51CA34,2970087,mcsmar@eircom.net,MR. P PIGOTT,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,157,137,294
91391H,St Peter's Community School,http://stpeters.ie/,Passage West,Co Cork,,,Cork,T12DX46,214841599,office@stpeters.ie,MR. DEREK DUNNE,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,180,169,349
91396R,Douglas Community School,http://www.dcscork.ie/,Clermont Avenue,Douglas,Cork,,Cork,T12HF77,214294201,admin@dcscork.ie,MR. JAMES LONG,N,Boys,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,,541,541
91397T,Bishopstown Community School,https://www.bishopstowncs.ie/,Bishopstown,Cork,,,Cork,T12KP78,214544311,office@bishopstown-cs.ie,MR. JOHN FARRELL,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,130,171,301
91400F,Mayfield Community School,http://mayfieldcommunityschool.ie/,Old Youghal Road,Mayfield,Cork,,Cork,T23DP95,214506855,admin@mayfieldcs.ie,MR. KIERAN GOLDEN,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,106,208,314
91499E,Kinsale Community School,https://www.kinsalecommunityschool.ie/,Kinsale,Co Cork,,,Cork,P17R993,214773174,info@kinsalecommunityschool.ie,MR. FERGAL MC CARTHY,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,456,512,968
91513S,Pobalscoil na Tríonóide,http://www.trionoide.ie/,Frogmore,Youghal,Co. Cork P36 Y763,,Cork,P36Y763,2425836,trionoide@iol.ie,MR. SEAMUS O'CEALLACHAIN,N,Mixed,Day,Some pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,465,499,964
91516B,SKIBBEREEN COMMUNITY SCHOOL,https://www.skibbereencommunityschool.ie/,MAIN ST,SKIBBEREEN,CO CORK,,Cork,P81P520,,info@skibbereencommunityschool.ie,MR. ANTON O'MAHONY,N,Mixed,,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,417,421,838
62770C,Scoil Mhuire Secondary School,http://scoilmhuirebuncrana.ie,St. Oran's Road,Buncrana,Co. Donegal,,Donegal,F93PN53,749361065,info@scoilmhuirebuncrana.ie,MISS ROSALEEN GRANT,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,339,332,671
62830R,St Eunan's College,https://sainteunans.com/pajo/,Letterkenny,Co Donegal,,,Donegal,F92RR71,749121143,info@sainteunans.com,MR. CHRISTOPHER DARBY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,833,833
62840U,Loreto Secondary School,,Letterkenny,Co Donegal,,,Donegal,F92X981,749121850,lorcondl@gmail.com,MISS NORA FRIEL,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,924,,924
62861F,St Columbas College,http://www.stcolumbascollege.ie/web/index.php,Stranorlar,Co. Donegal,,,Donegal,F93KN62,749131246,stcolumbascollege1@eircom.net,MR. THOMAS ROWAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,436,440,876
71140Q,Crana College,https://www.maristathlone.net,Crana Road,Buncrana,Co. Donegal,,Donegal,F93D568,749361113,cranacollege@donegaletb.ie,Mr Kevin Cooley,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,239,309,548
71150T,Coláiste na Carraige,http://www.ourladysbower.com,Carrick,Co. Donegal,,,Donegal,F94AE20,749739071,cnc@donegalvec.ie,Mr Pádraig Ó Leime,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,89,125,214
71180F,Abbey Vocational School,http://www.mercykilbeggan.ie,The Glebe,Donegal Town,Co.Donegal,,Donegal,F94A409,749721105,abbeyvs@donegaletb.ie,Geraldine Diver,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,440,423,863
71200I,Errigal College,http://www.cbsmullingar.ie,Windyhall,Letterkenny,,,Donegal,F92FC82,749121047,errigalprincipal@donegaletb.ie,Mr. Charles Cannon - Acting,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,111,154,265
71220O,Mulroy College,http://www.stfinianscollege.ie/index.php,Milford,Letterkenny,Co Donegal,,Donegal,F92FX36,749153346,mulroycollege@donegaletb.ie,Ms Fiona Temple,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,182,270,452
71230R,Deele College,http://www.loretocollegemullingar.com,Raphoe,Lifford,Co Donegal,,Donegal,F93D237,749145493,deelecollege@donegaletb.ie,Mr. Joe Boyle,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,251,289,540
71240U,Finn Valley College,http://www.wilsonshospitalschool.com,Main Street,Stranorlar,Lifford,,Donegal,F93F663,749131684,finnvalleycollege@donegaletb.ie,Alan Thompson,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,102,143,245
71241W,St. Catherine's Vocational School,http://www.mercyrochfortbridge.ie,Donegal Road,Killybegs,Co. Donegal,,Donegal,F94A004,749731491,stcatherines@donegalvec.ie,Cathal Campbell,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,149,166,315
71242B,Gairm Scoil Chú Uladh,www.ballasecondaryschool.com/,Béal an Átha Móir,An Clochan,Leifear,Co Dhun na nGall,Donegal,F93DK03,749546133,gcu@donegaletb.ie,Fiona Ni Chnáimhsí,Y,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,102,84,186
71244F,Gairmscoil Mhic Diarmada,https://www.stmuredachscollege.ie/,An Leadhbgarbh,Árainn Mhór,Co Dhún na nGall,,Donegal,F92YP83,749520747,gsmhicd@donegaletb.ie,Mary Doherty,Y,Mixed,Day,Some pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,53,51,104
76079S,Coláiste Phobail Cholmcille,,Baile Úr,Oileán Thoraí,Doirí Beaga,Co. Dhún Na nGall,Donegal,F92X023,749165448,cpcthorai@donegaletb.ie,Máire Clár Nic Mhathúna,N,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,1,5,6
76081F,Coláiste Ailigh,www.ourladysbelmullet.ie/,Cnoc na Móna,Leitir Ceanainn,Co.Dhún na nGall,,Donegal,F92N2HE,749125943,colaisteailigh@donegaletb.ie,Michéal Ó Giobúin,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,144,129,273
76083J,Magh Ene College,http://www.stgeraldscollege.com//,Church Road,Bundoran,Co Donegal,,Donegal,F94YT78,719841244,maghene@donegaletb.ie,Pat Tighe (Acting),N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,155,170,325
76084L,Moville Community College,https://www.stjosephscastlebar.com/,Carrownaff,Moville,Co Donegal,,Donegal,F93DN29,749385988,moville@donegalvec.ie,Eamon ryan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,259,295,554
76107U,Gaelcholáiste Chineál Eoghain,http://www.stcolmans.ie,Muileann Thulaigh Gharbháin,Bun Cranncha,Co. Dhún na nGall,,Donegal,F93XT38,749322350,cce@donegalvec.ie,Éabha Ní Mhonacháin,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,MULTI DENOMINATIONAL,Open,11,31,42
81010J,St Columba's Comprehensive School,,Glenties,Co Donegal,,,Donegal,F94C421,749551172,admin@glentiescomp.com,MS. FRANCES BONER,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,174,191,365
81011L,The Royal and Prior School,https://www.gortnorabbey.ie,Raphoe,Co Donegal,,,Donegal,F93T298,749145389,principal@royalandprior.ie,DR. HOWARD TERENCE WELCH,Y,Mixed,Mixed,No subjects taught through Irish,N,N,CHURCH OF IRELAND,Open,301,271,572
91406R,Carndonagh Community School,www.stjosephsfoxford.ie/,Carndonagh,Lifford,Co Donegal,,Donegal,F93VK61,749374260,admin@carndonaghcs.ie,MR. PAUL.I FIORENTINI,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,517,512,"1,029"
91407T,Rosses Community School,http://www.sanctamaria.ie,Dungloe,Co. Donegal,,,Donegal,F94NX79,749521122,jgorman@rossescommunityschool.ie,MR. JOHN GORMAN,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,171,235,406
91408V,Pobalscoil Chloich Cheannfhaola,http://scoilmuirepadraigswinford.com,An Fálcarrach,Leitir Ceanainn,Co. Dhún na nGall,,Donegal,F92KR25,749135424,pccfalc@eircom.net,MS. MAEVE SWEENEY,Y,Mixed,Day,Some pupils taught some subjects through Irish,N,N,INTER DENOMINATIONAL,Open,244,222,466
91409A,Pobalscoil Ghaoth Dobhair,http://colaistemuire.eu,Doirí Beaga,Leitir Ceannain,Tir Chonaill,,Donegal,F92HX52,749531311,pobalscoilgd.ias@eircom.net,MR. JAMES O'BRIEN,N,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,211,207,418
91500J,Loreto Community School,https://www.ricecollegewestport.ie/r/,Milford,Co Donegal,,,Donegal,F92FK13,749153399,info@loretomilford.net,MS. MARGARET MARY O'CONNOR,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,377,395,772
91506V,Coláiste Cholmcille,,College St,Ballyshannon,Co Donegal,,Donegal,F94NW62,719858288,jkeogh@ccbs.ie,MR. JAMES KEOGH,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,332,310,642
60010P,Loreto Secondary School,www.loretobalbriggan.ie,Balbriggan,Co Dublin,,,Dublin,K32R248,18411594,office@loretobalbriggan.ie,MS. ANN M MCDONOUGH,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,"1,276",,"1,276"
60021U,St Marys Secondary School,http://www.stmarysbaldoyle.org,Baldoyle,Dublin 13,,,Dublin,D13W208,18325591,info@stmarysbaldoyle.org,MS. EDEL GREENE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,312,,312
60030V,Blackrock College,https://www.blackrockcollege.com,Rock Road,Blackrock,Co. Dublin,,Dublin,A94FK84,12888681,amacginty@blackrockcollege.com,MR. ALAN T MAC GINTY,N,Boys,Mixed,No subjects taught through Irish,N,Y,CATHOLIC,Open,,"1,021","1,021"
60040B,Willow Park School,http://www.willowparkschool.ie,Rock Road,Blackrock,Co Dublin,,Dublin,A94TW98,12881651,info@willowparkschool.ie,MR. ALAN JAMES THOMAS ROGAN,N,Boys,Mixed,No subjects taught through Irish,N,Y,CATHOLIC,Open,,203,203
60041D,Coláiste Eoin,http://www.eoiniosagain.ie/eoin/,Baile an Bhóthair,Bóthair Stigh Lorgan,Co Atha Cliath,,Dublin,A94E122,12884002,ce@eoiniosagain.ie,MR. P.S DE POIRE,N,Boys,Day,All pupils taught all subjects through Irish,N,N,CATHOLIC,Open,,495,495
60042F,Coláiste Íosagáin,http://www.eoiniosagain.ie/iosagain/,Bóthar Stigh Lorgan,Baile an Bhóthair,Co Átha Cliath,,Dublin,A94KV12,12884028,colaisteiosagain1971@gmail.com,MS. FÍONA UÍ UIGINN,N,Girls,Day,All pupils taught all subjects through Irish,N,N,CATHOLIC,Open,494,,494
60050E,Oatlands College,http://oatlands.ie,Mount Merrion,Co Dublin,,,Dublin,A94HX38,12888533,admin@oatlands.net,MS. CAROLINE GARRETT,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,545,545
60070K,Dominican College,http://www.sionhillcollege.ie,Sion Hill,Blackrock,Co Dublin,,Dublin,A94TP97,12886791,admin@sionhillcollege.ie,MISS SHEILA DRUM,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,441,,441
60081P,Rockford Manor Secondary School,http://www.rockfordmanor.ie,Stradbrook Rd,Blackrock,Co Dublin,,Dublin,A94H294,12801522,info@rockfordmanor.ie,MISS MARY CAFFREY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,314,,314
60090Q,Rathdown School,http://www.rathdownschool.ie,Upper Glenageary Road,Glenageary,Co. Dublin,,Dublin,A96NX44,12853133,admin@rathdownschool.ie,MR. BRIAN MOORE,N,Girls,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,301,,301
60092U,Clonkeen College,http://www.clonkeencollege.ie,Clonkeen Road,Blackrock,Co Dublin,,Dublin,A94P206,12892709,reception@clonkeencollege.ie,MR. EDWARD MELLY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,540,540
60100Q,Castleknock College,https://www.castleknockcollege.ie,Castleknock,Dublin 15,,,Dublin,D15PD95,18213051,info@castleknockcollege.ie,MR. OLIVER MURPHY,N,Boys,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,,643,643
60120W,Mount Sackville Secondary School,http://mountsackville.ie,Chapelizod,Dublin 20,,,Dublin,D20WP68,18213317,info@mountsackville.ie,MRS. EILEEN HIGGINS,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,680,,680
60121B,Moyle Park College,https://moyleparkcollege.ie,Clondalkin,Dublin 22,,,Dublin,D22V072,14574837,info@moyleparkcollege.ie,MS. NIAMH CAHALANE,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,726,726
60122D,Coláiste Bríde,http://www.colaistebride.com,New Road,Clondalkin,Dublin 22,,Dublin,D22C6Y2,14591158,apanikova@colaistebride.com,MISS MARIE THERESE KILMARTIN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,971,,971
60130C,Loreto Abbey Secondary School,https://www.loretoabbeydalkey.com,Dalkey,Co Dublin,,,Dublin,A96YC81,12718900,office@loretoabbeydalkey.ie,MR. ROBERT DUNNE,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,622,,622
60140F,Mount Anville Secondary School,http://www.mountanville.ie,Mount Anville Rd,Dublin 14,,,Dublin,D14A8P3,12885313,office@mountanville.ie,MRS. PATRICIA MATHEWS,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,675,,675
60160L,Notre Dame Secondary School,http://www.notredame.ie,Upper Churchtown Road,Dublin 14,,,Dublin,D14Y563,12989533,principal@notredame.ie,MRS. MARY M BRANNIGAN,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,64,,64
60180R,Christian Brothers College,http://www.cbcmonkstown.ie,Monkstown Park,Dun Laoghaire,Co Dublin,,Dublin,A96TF64,12805854,cbcmonkstown@outlook.com,DR. GERARD BERRY,N,Boys,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,,472,472
60240J,Loreto College Foxrock,http://loretofoxrock.ie,Foxrock,Dublin 18,,,Dublin,D18FT21,12895637,admin@loretofoxrock.ie,MRS. BERNADETTE PRENDIVILLE,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,552,,552
60250M,Holy Child Secondary School,http://www.holychildkilliney.ie,Military Road,Killiney,Co. Dublin,,Dublin,A96XP82,12823120,admin@holychildkilliney.ie,MS. CAROLINE MARY O'BRIEN,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,347,,347
60260P,St Joseph Of Cluny Secondary School,http://clunykilliney.ie/blog/,Bellevue Park,Ballinclea Rd,Killiney,Co Dublin,Dublin,A96DK13,12855027,office@clunykilliney.ie,MISS MARY G WHITE,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,309,,309
60261R,St Benildus College,http://www.stbenilduscollege.com,Upper Kilmacud Rd,Stillorgan,Blackrock,Co Dublin,Dublin,A94X886,12987836,stbenildusoffice@stbenilduscollege.com,MR. MARTIN JOHNSON,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,795,795
60262T,St Laurence College,http://www.stlaurencecollege.com,Loughlinstown,Dublin 18,,,Dublin,D18AK07,12826930,info@stlaurencecollege.com,MR. WILLIAM REDMOND,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,147,139,286
60263V,St Josephs College,http://www.stjosephslucan.com,Lucan,Co Dublin,,,Dublin,K78VW74,16281160,stjosephslucan@gmail.com,MS. BERNADETTE FITZGERALD,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,876,,876
60264A,Coláiste Phádraig CBS,http://www.colaistephadraiglucan.ie,Roselawn,Lucan,Co Dublin,,Dublin,K78E927,16282299,admin@colaistephadraig.com,MR. ANTHONY J BRADY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,590,590
60272W,The Kings Hospital,http://www.kingshospital.ie,Palmerstown,Dublin 20,,,Dublin,D20V256,16436500,headmaster@thekingshospital.ie,MR. J.D. RAFTER,N,Mixed,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,319,408,727
60290B,St Pauls College,http://www.stpaulscollege.ie,Sybil Hill,Raheny,Dublin 5,,Dublin,D05C673,18314011,admin@stpaulscollege.ie,MR. ML.A. BEHAN,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,578,578
60291D,Árdscoil La Salle,http://www.ardscoillasalle.ie/ALS/2015/,Raheny Road,Raheny,Dublin 5,,Dublin,D05Y132,18480055,secretary@ardscoillasalle.ie,MR. COLM MYTHEN,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,84,123,207
60300B,Manor House School,http://manorhouseschool.com,Watermill Road,Raheny,Dublin 5,,Dublin,D05R827,18316782,deputyprincipal@manorhouseschool.com,MISS MARY T O'NEILL,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,753,,753
60310E,Da La Salle College,http://www.delasallecollege.com,Upper Churchtown Road,Churchtown,Dublin 14,,Dublin,D14A0T9,12981067,office@delasallecollege.com,MISS MARY E O'CONNELL,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,357,357
60320H,St Columba's College,https://www.stcolumbas.ie,Whitechurch,Dublin 16,,,Dublin,D16CH92,14906791,admin@stcolumbas.ie,MARK TREMAYNE BOOBBYER,N,Mixed,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,133,174,307
60321J,Rockbrook Park School,http://www.rockbrook.ie,Edmondstown Road,Rathfarnham,Dublin 16,,Dublin,D16P897,14933204,admin@rockbrook.ie,MR. MARK HAMILTON,N,Boys,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,,167,167
60340N,Loreto High School,https://www.loretohighschool.com,Beaufort,Grange Rd,Rathfarnham,Dublin 14,Dublin,D14E521,14933251,info@loretohighschool.com,MS. MARGARET O DONOGHUE,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,628,,628
60341P,Sancta Maria College,http://sanctamariacollege.com,Ballyroan Crescent,Rathfarnham,Dublin 16,,Dublin,D16V389,14934887,info@sanctamariacollege.com,MISS GERALDINE KENNEDY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,497,,497
60342R,Coláiste Éanna,http://www.colaisteeanna.ie,Ballyroan,Dublin16,,,Dublin,D16E248,14931767,secretary@colaisteeanna.ie,MR. SEAN G. O'MURCHU,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,626,626
60343T,St Joseph's Secondary School,http://www.stjosephsrush.ie,Convent Lane,Rush,Co. Dublin,,Dublin,K56A308,18437534,office@stjosephsrush.ie,MRS. PATRICIA HAYDEN,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,282,440,722
60361V,St Raphaela's Secondary School,http://straphaelas.ie,Upper Kilmacud Road,Stillorgan,Co Dublin,,Dublin,A94NT29,12888730,secretary@straphaelas.ie,Eileen O' Donnell,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,545,,545
60370W,St. Fintan's High School,http://www.stfintanshs.ie,Dublin Road,Sutton,Dublin 13,,Dublin,D13HN59,18324632,info@stfintanshs.ie,MISS MARY FOX,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,705,705
60380C,Santa Sabina Dominican College,http://www.santasabina.ie,Greenfield Road,Sutton,Dublin 13,,Dublin,D13RD80,18322200,admin@santasabina.ie,MISS CATHERINE CAVANAGH,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,669,,669
60381E,Sutton Park School,http://www.suttonparkschool.com,St Fintans Road,Sutton,Dublin 13,,Dublin,D13EA33,18322940,info@sps.ie,MR. RONAN WALSH,N,Mixed,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,151,194,345
60383I,Coláiste Choilm,http://colaistechoilmswords.ie,Dublin Road,Swords,Co Dublin,,Dublin,K67KW30,18401420,colchoilm.ias@eircom.net,MR. DAVID NEVILLE,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,553,553
60390F,St Josephs C.B.S.,http://www.stjosephsfairview.ie,Merville Ave,Fairview,Dublin 3,,Dublin,D03PF72,18339779,info@stjosephsfairview.ie,MR. GERARD CULLEN,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,306,306
60400F,St Vincents C.B.S. Glasnevin,http://stvincentsd11.ie/#tab-1,Glasnevin,Dublin 11,,,Dublin,D11XV05,18304375,cigara@eircom.net,MR. JOHN G HORAN,Y,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,378,378
60410I,C.B.S. James Street,http://cbsjamesstreet.ie,James's Street,Dublin 8,,,Dublin,D08K338,14547756,jamesstcbs123@outlook.ie,MR. PAUL N MAC ENTEE,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,28,89,117
60420L,Árdscoil Rís,https://asrdublin.wordpress.com,Griffith Avenue,Dublin 9,,,Dublin,D09AK30,18332633,asrd9@eircom.net,MR. MARK NEVILLE,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,522,522
60430O,St Pauls C.B.S.,www.thebrunner.ie,Christian Brothers,Nth Brunswick Street,Dublin 7,,Dublin,D07VF57,18720781,principal@thebrunner.ie,MR. PATRICK MCCORMACK,Y,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,239,239
60440R,O'Connell School,"
www.oconnellschool.ie",North Richmond Street,Dublin 1,,,Dublin,D01Y4A9,18748307,secretary@oconnellschool.ie,MR. GERARD DUFFY,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,32,240,272
60450U,Coláiste Mhuire,www.colaistemhuire.ie ,Bothar Rath Tó,Baile Atha Cliath 7,,,Dublin,D07CY97,18688996,runai@colaistemhuire.ie,UAS. TOMÁS Ó MURCHÚ,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,CATHOLIC,Open,130,153,283
60470D,"Christian Brothers, Synge St.",.http://syngestreet.eu/,"Synge St.,",Dublin 8.,,,Dublin,D08R283,14783998,syngestreetoffice@eircom.net,MS. CLARE CATTERSON,Y,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,224,224
60471F,St. David's C.B.S.,http://www.stdavidscbs.net/,Malahide Road,Artane,Dublin 5,,Dublin,D05W667,18315322,info@stdavidscbs.ie,MR. PADRAIC KAVANAGH,Y,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,549,549
