,Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Lat,Lag,Photo Reference 1,Photo Reference 2,Photo Reference 3,Photo Reference 4,Photo Reference 5,Photo Reference 6,Photo Reference 7,7,Photo Reference 9,Photo Reference 10,Photo Reference 11,Photo Reference 12,Photo Reference 13,Photo Reference 14,Photo Reference 15,Photo Reference 16,Photo Reference 17,Photo Reference 18,Photo Reference 19,Photo Reference 20
147,91407T,Rosses Community School,http://www.sanctamaria.ie,Dungloe,Co. Donegal,,,Donegal,F94NX79,749521122.0,jgorman@rossescommunityschool.ie,MR. JOHN GORMAN,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,171,235,406,55.2647334,-8.2212443,,,,,,,,,,,,,,,,,,,,
148,91408V,Pobalscoil Chloich Cheannfhaola,http://scoilmuirepadraigswinford.com,An Fálcarrach,Leitir Ceanainn,Co. Dhún na nGall,,Donegal,F92KR25,749135424.0,pccfalc@eircom.net,MS. MAEVE SWEENEY,Y,Mixed,Day,Some pupils taught some subjects through Irish,N,N,INTER DENOMINATIONAL,Open,244,222,466,54.19361070000001,-6.5763283,,,,,,,,,,,,,,,,,,,,
149,91409A,Pobalscoil Ghaoth Dobhair,http://colaistemuire.eu,Doirí Beaga,Leitir Ceannain,Tir Chonaill,,Donegal,F92HX52,749531311.0,pobalscoilgd.ias@eircom.net,MR. JAMES O'BRIEN,N,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,211,207,418,55.0743448,-8.294187299999999,CmRaAAAAiW7XS6z35zYFA2dlW5i-Vt5tsXp5AogSLyBoCb10ou58ra9QIVLir6WRdFff1169WLEPfoUq8Q8j5MJd4J08eB1cWd0bVIBubFvMb1Cn3SBIL5CjNCw1xxtMYeSgYHe6EhCms6MgncZ90k1S3OpCtpcHGhQplM6Im3ZX0W0xERaLGHr1eQYGdg,CmRaAAAAtyLU7-d23M752oTjxOaFPhOIcf-jZBCkOciWsOLP03hbGT05rWkFgiocVR0MK_XEd1BqfiRa3ExGEzmCOhxiivEmYF9UY6HBWBspnDqkPSqWEpI2x5XWUes9Y4J_opfWEhA6CyDAk0jHoRvTwv0d2fYGGhTZwTXe-ShiF3fJOvJkSL2ZwAy7mg,CmRaAAAAKOafFLR7CHbywP98Cu0zD9OuHPudEJxFk8KcxTAy9lpISJIwbRz-SPPalehl3m4Y0CrS0AhxJvAqDeVVMrjqT-ydGgr-QoSZOh8CJ3CORGWOjMxRcg3-PUjh5YWJ_2KBEhB84ExUYn9JFhe1juHSlzdnGhT_QI0R1ghlgOs5Qrss1ME7lzUFHA,CmRaAAAARMBhQgEUF0dQkpLEwZ-1UBSLsLNyVOR-xvNWMftmkanOG_C3BzHGMhO-Pp5KYVafL9bt6pFJRJ10i4lbZtZFALdN8Ka0M7iBsvWbZVPuYZNMZ4QrsLwckLBJLxr2Z7PEEhDvzpi-e1SLwacOvZ5nCUjaGhS7Mp_vAJabadRdhIqWQ8qP4LS1NQ,CmRaAAAAhMy4g1ZR1L6aEnedZntDmjdU4LYiKNWc92dVUXiZIHeFfAJbhgtWmrj7FpSvMx1RKtidgo1LOXe68Ep9r2TDM3wvGjHL-gkEq_LLCrVPOdlyrX6pQInIn_6gmLptyG46EhCtNmLdYgBo6hswBqv7iwmHGhRF2h691zO-PnuVHY42XCCgMTKuBA,CmRaAAAACr-pSW_ZguYRFmCJwipU2pYkeRk2SYEhgU_jNOvdHs263djIrwPj6HQtPiGUqnhcZQmXwJC8asKMfS_j9C42gw3kdNtsHNgRGPUGAlVLk4gZ6nZrom3AAQTSkik7RDSuEhBSZqofvfSL1N6pFGRovUz3GhTSuEPZTtiFHapCodOE_aKIROuGbA,CmRaAAAAdQxDe1HFGF4ovipAsJ6m39FpYIZiSxOVwiyHtmjVGsDCZsvcHDYTAZRZlQyXPpDeNetnHs38rzyQPf7KBDl25_Z5QE_qAVoLbFR8sy5VHz3-V32V1ZWrUjSJgZsy3B7EEhDm9V9WnHL7Ae8OWgdW_-isGhQvArmU_X6NxaHZ_HjDB8Jj-4af8g,CmRaAAAAOrtc6PSuLL0vqBMwl__MGfOPhw0z3M8zfcYlrKsW18W7lo88gKl-I71C62R79WRVWFW9Yypz5jqe55mIW9m4ATVotw854iC0TcIiTCVPxEmLHcKRlc_9SYkh3LQK16ojEhBtwax8NiFaNXIJ_SEXkWxiGhTrez-ZBKmJZYwtDZXBcgAnWLllLA,,,,,,,,,,,,
150,91500J,Loreto Community School,https://www.ricecollegewestport.ie/r/,Milford,Co Donegal,,,Donegal,F92FK13,749153399.0,info@loretomilford.net,MS. MARGARET MARY O'CONNOR,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,377,395,772,54.9627237,-7.724127199999999,,,,,,,,,,,,,,,,,,,,
151,91506V,Coláiste Cholmcille,,College St,Ballyshannon,Co Donegal,,Donegal,F94NW62,719858288.0,jkeogh@ccbs.ie,MR. JAMES KEOGH,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,332,310,642,54.9523489,-7.7379074,,,,,,,,,,,,,,,,,,,,
152,60010P,Loreto Secondary School,www.loretobalbriggan.ie,Balbriggan,Co Dublin,,,Dublin,K32R248,18411594.0,office@loretobalbriggan.ie,MS. ANN M MCDONOUGH,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,"1,276",,"1,276",54.4751553,-8.2793271,,,,,,,,,,,,,,,,,,,,
153,60021U,St Marys Secondary School,http://www.stmarysbaldoyle.org,Baldoyle,Dublin 13,,,Dublin,D13W208,18325591.0,info@stmarysbaldoyle.org,MS. EDEL GREENE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,312,,312,55.1872073,-7.0519345,,,,,,,,,,,,,,,,,,,,
154,60030V,Blackrock College,https://www.blackrockcollege.com,Rock Road,Blackrock,Co. Dublin,,Dublin,A94FK84,12888681.0,amacginty@blackrockcollege.com,MR. ALAN T MAC GINTY,N,Boys,Mixed,No subjects taught through Irish,N,Y,CATHOLIC,Open,,"1,021","1,021",55.1440137,-7.452755799999999,,,,,,,,,,,,,,,,,,,,
155,60040B,Willow Park School,http://www.willowparkschool.ie,Rock Road,Blackrock,Co Dublin,,Dublin,A94TW98,12881651.0,info@willowparkschool.ie,MR. ALAN JAMES THOMAS ROGAN,N,Boys,Mixed,No subjects taught through Irish,N,Y,CATHOLIC,Open,,203,203,54.799013,-8.2855636,,,,,,,,,,,,,,,,,,,,
156,60041D,Coláiste Eoin,http://www.eoiniosagain.ie/eoin/,Baile an Bhóthair,Bóthair Stigh Lorgan,Co Atha Cliath,,Dublin,A94E122,12884002.0,ce@eoiniosagain.ie,MR. P.S DE POIRE,N,Boys,Day,All pupils taught all subjects through Irish,N,N,CATHOLIC,Open,,495,495,54.87607440000001,-7.5898148,CmRaAAAA034pvr4xJQG-SoOeS5Etp9aXR9MleyiyoxRqq11eXKxOuJVrn8RGSrtl9K2FYQZGRdOuWjtqN7h627KLwy-06mG54n5RCPeSEnCbMSr9d1tFLPEWrVhbQqHMCnuSLIxoEhBdQEQodpbfxk-Nhmeq8RhWGhQJGrHuAqSVcFIPLDq26b_hmmMNHg,CmRaAAAAPiKRf5IUvReR5pryU-_7FDfuRAEM5E5APkdHpK6UegiNeLYlkXal6e1U3zb2h_jwsQws3IhMb3Dxi21ujjhaMVp63xB4q4dKXFC16VA4dED8nIy9AAVTiJmegNlG_E6sEhAhCBYWi9nWPqHDWK7Wo37TGhSObZMp9uHY9AAqgYcClop0IhjTCQ,CmRaAAAAIq1PCGeO7-ogvuhBzgJSpJ4ysIM1xr5pVsrybOCX6lRtY7eLaOTnfPnmpJEIQEBHuyoHpJ_0C3WDAqdUoe3MrEwEJeaNNwDvAnygdOR3ZPP_RNkuHNJ4gXuwQxvjy6VOEhDm4k1bOvpOFRSQLLlSJSNBGhTHJnsyFmNZ4RGXwY2QLopRXy7bbg,,,,,,,,,,,,,,,,,
157,60042F,Coláiste Íosagáin,http://www.eoiniosagain.ie/iosagain/,Bóthar Stigh Lorgan,Baile an Bhóthair,Co Átha Cliath,,Dublin,A94KV12,12884028.0,colaisteiosagain1971@gmail.com,MS. FÍONA UÍ UIGINN,N,Girls,Day,All pupils taught all subjects through Irish,N,N,CATHOLIC,Open,494,,494,55.2498022,-7.270337799999999,CmRaAAAAN5H_PLK7AaKxxoih62y7DRldF0pChZixT6sCTs9JCU6fuk_9C67OTzsVTc1fVHK56jAJQ85PnfROFHmEvppmghlxD9auvGDDICyXKx1d7_lE8RFAk7HiGYP-7mX4CQpaEhCWeQ2M428hZn_vBwLFDgZFGhRQB0C_JrW0ii4dNL3bR5l5wdePPg,,,,,,,,,,,,,,,,,,,
158,60050E,Oatlands College,http://oatlands.ie,Mount Merrion,Co Dublin,,,Dublin,A94HX38,12888533.0,admin@oatlands.net,MS. CAROLINE GARRETT,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,545,545,54.9495334,-8.3516908,,,,,,,,,,,,,,,,,,,,
159,60070K,Dominican College,http://www.sionhillcollege.ie,Sion Hill,Blackrock,Co Dublin,,Dublin,A94TP97,12886791.0,admin@sionhillcollege.ie,MISS SHEILA DRUM,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,441,,441,55.1418815,-8.099637,,,,,,,,,,,,,,,,,,,,
160,60081P,Rockford Manor Secondary School,http://www.rockfordmanor.ie,Stradbrook Rd,Blackrock,Co Dublin,,Dublin,A94H294,12801522.0,info@rockfordmanor.ie,MISS MARY CAFFREY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,314,,314,54.9558392,-7.7342787,CmRaAAAAB1FrurMy4Ma0x3TH2c4vb81ctF6fTlM94ZIYBE9OyaXnO32a_WYMPWVcIE0tJ8GoxzutO6UBdFLxCnKfIY4kE_A855pK8peLQiSfLSoz0eCjUhCBBpxKSPxO3SdTVJv4EhAknsYKEjN6RunBi01mOyHeGhQg0hPILcvqD-oXSHfk6z1dybbL5w,CmRaAAAA3mcwL2loGcjovqxYBkiuNbcEmrpHk36ew-VeBU87bOZIDkg8DYn4g0k7NETR6RqDdMnRmiN20WaAXjyJTZJ1XR7PHOAgO6d7oBHlr1HnMI3v2E6rxTg_9FtqEqbhZmp3EhDOoinq0HFdrXgL5RFeF8zgGhQ3c-La8gFPsNGG2EpN02bKH7Blmg,CmRaAAAA0yTe8QSp7wwmdTnOmM7Yxz5L9g6Ww4aq67-FSdnsEldUT7t7nxekyXHxYnZOC5iIAo2qMRk5X06zzLUajPMkaL_FtplnliqHWSdO9NclSiPwMDZQv17-ZIpk60bRrPI4EhCFrTaOWUV526Rut1eRYD1uGhTSwwRxvR-zlLn9CXkdi1J4cC3QMQ,CmRaAAAAHcGOMzakGsxak0RODkPUUckLFJHmfsQV0n1Vv1Qlj4q5FALChMEQ06EN-fHy3QArLFfyx6rqGlCsBc9MbKdoBju6t3HfmD9gjPv-Nya_3_zJ7dyIcu2YqDhDCLJBrXfrEhANyBnWeaR_fvvOnKYuqntDGhTkTd6MocxtVe92ptrNT9eYwz5tHg,CmRaAAAAl3cRbh5f6GRj_qVXKIvTZ08bCpP3-LIdcTSHyJDha0LcBzQ2TPSz4fpkxjDwkxAexqd3ApS2QhTCrH2wEnl_Qc0nCgchy1ok1vyjXWFgYGl2RCJPyN-K2aC9g9oXhNvpEhCPJ7Xglo_loeCZdbb42Gt5GhStwu4llRq2eIGBQfc-pwmmcRC-qA,CmRaAAAAKwPGQWaP8Ih0gQgz6q8lArA2UCE_-HMMGwcwSva4O-xP4nJSXBXXmlYQ9C53jdaCTrOqWf54-v08rNoCAYXLq5L4rJ9oH6bKGR6h3WEbZYT0ixOW-0R7_yBhTabLw7tIEhCsYEkfA-MdVeYxjfjSZerqGhQUTmXuGaKDKcAkkt6qTbPEcpShtw,CmRaAAAATwGQ2aYdRUQWM3645FDd8SG651jg0uIHgkOC623Kpij1nE9Ox9s9TvQARiNCbsDxkwBRUm2IjawvAqbM7I2N-VUgprAKdM_hezHl9CQresXT7xirXbeQnkOjNyZDo3soEhCKJyzPTC-10XyYKE0XdaZDGhS4AIaNNqI1exoNUgCm29Avtiwk6g,CmRaAAAAswUdkv9Fv_ulQFey3XJ3ZfvhUrCky95MzOxu8fjFWwVN2cRMETIFIpd7s5-uNgZ11Jb49HKOtM7HNVhMwl2hDive2DQkMH3NfDox1fFBkKLdkKRAsqUKfRt7HONtQFSUEhB1DEI__3r5m2FQa6mfEsjLGhT9N-bZ2oyoaTVRbFQIoLBD5oiO3A,CmRaAAAAsVcdCIg_Lx2uszsZGI7LJ2mTwYS7xUg8dJXceYRKNnFDBXJCBI_mfXIPrtqLedOJ29_sy1BjP-ibnfL0KdL2GPW0KuzpCo2kkEIPXxtSeFsRcBITnS7ktlzF4NzvDwqREhALvEOyUX5GOKMiv4PQz8qMGhTkZ-kGXarf4Y3v3vlsa4G023srHQ,CmRaAAAAjaZtLLEFSEG12vhKA_z8T0jDoQ0DpzKN19ZGYx0Wsmdc5lgGFCUK60M5tLuiuEbVElqMcJXnqUVzuqNvcU0K4Bi7_j8g9qW3FsTqBomO1Sgz_pDjNc24db-avvAKRBDdEhCweNGevftpEUCCcnQbUnQCGhQ0xS4iO1d5hVbmEwVCDnpReF3_oA,CmRaAAAAKUHLD0ewZNOAl7JjshW5HGp2wzlXF9xOPVY6mBz8YmLKsskH7rHVjKM_aRj-bYwuRx8mo-LV0wh_Or6gi9_uacMCO-8jSVjSXKWX8yxZ8-yJ9SzEUsN6wDTT5HrJqsLFEhAvZdG3RERTUjPbesi40K60GhSEXX5GGGHSFeh4OSskwuZzBlnf8w,CmRaAAAAb4h0Jo3IF4_vnwNnTJ8kOZNpubh0A6aT_TwFqBdqHpDoX-qFajcWGoeLgCW8P-f-mKlKrNJVqJsHiPrYd20E7ZwfhMWmGfGPar7265zh2n_kphi6wrb-c_XkViGfM_wzEhAM_FH4-qgUCsHXl8Lcvit0GhRoRE1sLc_cCBLrlO865dd9q-TW8g,CmRaAAAAMASvKer2C-UWeoqVlnHTLpHsLQcMsebcjTf3WhdMbwfsSIYatcJAyJxqD5UwLfVV90z_3Ipjn-ca1_AMd2HHjkXjGG2LR9hCF8Az_UYIIQdOxWu3ATVng_xWC5qWsIrwEhCFQR9QDAOTFWL0prVk5zyuGhR815w2Rba5ovX5EHs-OF_obUM98A,CmRaAAAAj-ssg3gfyG1mZYgi-ZeMMzxK-OH7fM-emKqRQPJwROkwRoh-7Em6KV98rySRkBxeP72DEogbE7V30WK3A9DkQWA9XDAmjql0SgXlJHGl3qgWkxwRMleQ5L-KMSElHeDTEhAchaz37d-jiPM9ux6Q3VbDGhS4M-6CfuMM6n72_XWEBsFxWeIOLA,CmRaAAAAbJVnV2KAtxh4WOgEI-HygmrrDnDiTt-XgoQtw5DJk7AqUbhWJEdpLY-NmikNclorg9g6Y3jSe6su2N9YFG9PCYUc-4JzDAUefw3RR_40HZu_Z9YcP4u3UL7ps3BeikB7EhDO3Ul9T6j04IJkYYxWdzQDGhRn-iAxpByc0ZWHsl2PpGZHkisNDQ,CmRaAAAAi3P0i_FuQx60MDewjN1lht-RGaiWnVcrqChrGfFiGn98ANffCx2NLYzPOY7XcYVXiVsL1oxxTP2t88WtBWNDFk6Kq6tEXfkJCex-CxFbDPTu1Ie0zgMa4yz2izl95SbCEhCTAP1Z2AxiQtohFHQ89_otGhTZ0dhyIVzpqB6TRZ8ckZr-O6RVJA,CmRaAAAAG50fkAlSjRBy5I_KpHtVe_IF6l9jXbJ88bv9hmkqHwaoyIYTIhoNcMb7LOrnNcHIpKzP63T7g9tRAnPPa4PFFsXEPO4r53WEO_20mA401lBdqNCrhmDyiW729fzv8n63EhBoEhxszsRzVvPeWQIGyvvwGhTjJPLS8xDsgmo3aSxO30oBzEK6Ww,CmRaAAAAsbsD3kiIeqSl7yfZ8ASwrMZtoGjdSvHigbl_P5IbV2goC-8nFfjmWv6U3V7y7jrA3Bu7OnlvVSSOEFrU92BTvtQHo7RTKMR-e6OqjX7zrJ_H_9SOgHm2_r80lALbFH0OEhAd9saWSZtMNNl1ItHOYfcxGhSVSaSnP97RC3cVmgKiYyogQsYtpg,CmRaAAAAReImhDcHncVtBvdbxtYLn3cUcr4AMlokEOLEBi6XaPTVaZk6wRzvgf9jHHR_6nebpwSrMiYhj9ENuqdoCFIdkaQ389kTpCdCDGC8-sU-gTay_y0tep7UnCnbPOaOAEh5EhANwmqZfAKtn_lhw_oSa0-mGhTdjOXLFJGLnCFSg_tFvSQ0A9HJvw,CmRaAAAA5jJoAxleXnVWjgv7JI9U3zJJyQ5-prkk2mAB34z0BYFTR2EQaHYfSaIqUaV7xeL0ednuDKcl4um94LgTzfs72inO9Ux2D1btse2Ffr-uAWQJFcwCpoTSTdR6Ys5_fWROEhC3zTJARpU87zyiY0fqRpq8GhRPgB-GhXqEn8l7lkWgzGVvMF8oVQ
161,60090Q,Rathdown School,http://www.rathdownschool.ie,Upper Glenageary Road,Glenageary,Co. Dublin,,Dublin,A96NX44,12853133.0,admin@rathdownschool.ie,MR. BRIAN MOORE,N,Girls,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,301,,301,55.0743448,-8.294187299999999,CmRaAAAAiW7XS6z35zYFA2dlW5i-Vt5tsXp5AogSLyBoCb10ou58ra9QIVLir6WRdFff1169WLEPfoUq8Q8j5MJd4J08eB1cWd0bVIBubFvMb1Cn3SBIL5CjNCw1xxtMYeSgYHe6EhCms6MgncZ90k1S3OpCtpcHGhQplM6Im3ZX0W0xERaLGHr1eQYGdg,CmRaAAAAtyLU7-d23M752oTjxOaFPhOIcf-jZBCkOciWsOLP03hbGT05rWkFgiocVR0MK_XEd1BqfiRa3ExGEzmCOhxiivEmYF9UY6HBWBspnDqkPSqWEpI2x5XWUes9Y4J_opfWEhA6CyDAk0jHoRvTwv0d2fYGGhTZwTXe-ShiF3fJOvJkSL2ZwAy7mg,CmRaAAAAKOafFLR7CHbywP98Cu0zD9OuHPudEJxFk8KcxTAy9lpISJIwbRz-SPPalehl3m4Y0CrS0AhxJvAqDeVVMrjqT-ydGgr-QoSZOh8CJ3CORGWOjMxRcg3-PUjh5YWJ_2KBEhB84ExUYn9JFhe1juHSlzdnGhT_QI0R1ghlgOs5Qrss1ME7lzUFHA,CmRaAAAARMBhQgEUF0dQkpLEwZ-1UBSLsLNyVOR-xvNWMftmkanOG_C3BzHGMhO-Pp5KYVafL9bt6pFJRJ10i4lbZtZFALdN8Ka0M7iBsvWbZVPuYZNMZ4QrsLwckLBJLxr2Z7PEEhDvzpi-e1SLwacOvZ5nCUjaGhS7Mp_vAJabadRdhIqWQ8qP4LS1NQ,CmRaAAAAhMy4g1ZR1L6aEnedZntDmjdU4LYiKNWc92dVUXiZIHeFfAJbhgtWmrj7FpSvMx1RKtidgo1LOXe68Ep9r2TDM3wvGjHL-gkEq_LLCrVPOdlyrX6pQInIn_6gmLptyG46EhCtNmLdYgBo6hswBqv7iwmHGhRF2h691zO-PnuVHY42XCCgMTKuBA,CmRaAAAACr-pSW_ZguYRFmCJwipU2pYkeRk2SYEhgU_jNOvdHs263djIrwPj6HQtPiGUqnhcZQmXwJC8asKMfS_j9C42gw3kdNtsHNgRGPUGAlVLk4gZ6nZrom3AAQTSkik7RDSuEhBSZqofvfSL1N6pFGRovUz3GhTSuEPZTtiFHapCodOE_aKIROuGbA,CmRaAAAAdQxDe1HFGF4ovipAsJ6m39FpYIZiSxOVwiyHtmjVGsDCZsvcHDYTAZRZlQyXPpDeNetnHs38rzyQPf7KBDl25_Z5QE_qAVoLbFR8sy5VHz3-V32V1ZWrUjSJgZsy3B7EEhDm9V9WnHL7Ae8OWgdW_-isGhQvArmU_X6NxaHZ_HjDB8Jj-4af8g,CmRaAAAAOrtc6PSuLL0vqBMwl__MGfOPhw0z3M8zfcYlrKsW18W7lo88gKl-I71C62R79WRVWFW9Yypz5jqe55mIW9m4ATVotw854iC0TcIiTCVPxEmLHcKRlc_9SYkh3LQK16ojEhBtwax8NiFaNXIJ_SEXkWxiGhTrez-ZBKmJZYwtDZXBcgAnWLllLA,,,,,,,,,,,,
