Rank,Previous rank,Name,official_school_name,place_id,Type,% at university,% at third-level,Boys,Girls,Students/staff ratio,Telephone,photo_ref1
169,142,"Colaiste Einde, Threadneedle Rd, Galway",Coláiste Éinde - St. Enda’s College,ChIJ9SqB20uWW0gRm6thYvK0pQ0,M,51.4,86.5,465,295,13.6,091-521407,CmRaAAAAwa3Q0sKQTNbxKtlW-yDdNMhv4MLzs5e7D4UCX03Tn-0D2ZjF5h4RTucIEWr3dZLN2S46qMLX1MzUrPyLNe2CkKFwrHauiOjp9jn9h-Mpn-tfVbBKlkYUv4NEKgApGjVoEhDXuMqs76rYoURe9JKNL8F8GhQiydzYBFWLdTOO7RYcHXP7w2itRQ
18,18,"Colaiste Eoin, Booterstown, Co Dublin",Coláiste Eoin,ChIJx9laoCcJZ0gRkeo4u0kos3s,B,77.1,99.5,496,0,15.7,01-2884002,CmRaAAAAQz-j4YCfULrEWBQDqpD7szgVMd_1EOyLv69Do59yv74iGbGqEx4t3iEe2kv2zhFqn3_M5SpmAvMD4g7ONsW-xz4a33msg2DK9kFRLBR6BL1EorBFeAPg3VoYlzX-YMTVEhCu0xixWBrnh_Pd0y8PlETlGhR422B3uMy5-RCQZ6wq2AOLar01UQ
53,180,"Colaiste Ghobnait, Inis Oirr, Aran Islands, Co Galway",Coláiste Ghobnait,ChIJM4ejgC2rW0gRyuAjU3Q9_IE,M,66.7,93.8,15,13,,099-75016,
151,85,"Colaiste Ghobnatan, Ballymakeera, Co Cork (G)",Coláiste Ghobnatan,ChIJPWX3ThgeRUgRIb4R_CYWtIU,M,52.9,82.6,116,94,,026-45058,CmRaAAAAkcKfOZwqjLtgYZjBP0fvJX0Gft7FlVotcrk23YD2Md9_KpMaNChnWJMNNx9eLTLFT91gYTVKVSkSRmq9Rhr23cYk9to_taxsUcVc34DavltYfVH39SuZCVEGTUX8g7CwEhCxdul8R7b4IuqTtBDWxK0_GhTaj5G49HBkarTq-jpBAtW_mZH-6A
11,11,"Colaiste Ide, Dingle, Co Kerry (G) (B)",Coláiste Íde,ChIJs1n3egH7T0gR2witLV4NoMg,G,82.6,93.1,0,131,11.4,066-9151211,
305,320,"Colaiste Ide agus losef, Abbeyfeale, Co Limerick",Colaiste Ide agus Iosef,ChIJtepyPIfVWkgRPW6Tu2cq8iQ,M,39.9,75.7,349,337,,068-30631,
22,20,"*Colaiste lognaid SJ, Sea Rd( Galway",Coláiste Iognáid (The Jes),ChIJNbbAEvmWW0gRT0Xift2Pv2Y,M,76.5,98.7,339,292,14.3,091-501550,CmRaAAAAbHTXCQpLtu6DpPE5ssEPGBieAw9AbsOa2XM8A2dNRYyCVAdgxpSQkpv9SzJAYJIeLP62gdW0ouIrR1pxyvs3v9wWUNDU-Sph_m33lbpYLjJeQZgPj0_rjpzkueDp2ca6EhCpdwV8qbXOAVY1XujAKyoyGhR3K9FmuEs77Ilu6l6S0H7bMeWdBw
323,367,"Colaiste losaef, Kilmallock, Co Limerick",Coláiste Iósaef Community College,ChIJTfbud8ZSW0gRKfCKF__FxUU,M,39.2,65.6,245,192,,063-98275,
399,398,"Colaiste losagain, Portarlington, Co Laois",Colaiste Iosagain,ChIJR3rpQm91XUgRrGUYBb1lG6E,M,34,63.7,488,481,16.7,0502-23407,CmRaAAAAofJAItTKtBzvnbUixf6T-j1jda_44pY3SX_UmJYz1r8g1uEM3pwuZWb-wR8LqhoYOM2dbH-kKIsZxbuk5T-P6w8MIAt9s13YnxNYv4-QNZCJUhLN4--3Em4KIcutKdXwEhD6hy4krafVuZ4Ozvulg-N8GhTVJrJ3QNMyUiqEKEV-NO6i1W2AmQ
5,7,"Colaiste losagain, Booterstown, Co Dublin",Coláiste Íosagáin,ChIJG2ofdycJZ0gRFYp4DijeIr8,G,85.1,100,0,496,15.8,01-2884028,
249,220,"Colaiste Mhuire, Askeaton, Co Limerick",Colaiste Mhuire,ChIJD7SHLiI5W0gRLPbw3eePP8E,M,43.9,78.6,215,212,,061-392368,CmRaAAAAovVymJvJbJXUpbzCD0dLIHuUe9jvg8rCo0drT4GRjvS-nM5GOe64VBV2NxqgRoqJfsSPizi_bSO9zrOpbBD4mJu3ntotK_rEnFdZjufYckq3jXLOX7m-jMVchxfolSt3EhDe6RvD-KfWE4nO-IjWI-ZAGhS5mXRuL6odz7HaaqXG3yC2_JrVWA
275,374,"Colaiste Mhuire, Johnstown, Co Kilkenny",Colaiste Mhuire,ChIJIb004pIgXUgRIWBKTbexTh4,M,42.1,84.3,285,224,,056-8831135,CmRaAAAAovVymJvJbJXUpbzCD0dLIHuUe9jvg8rCo0drT4GRjvS-nM5GOe64VBV2NxqgRoqJfsSPizi_bSO9zrOpbBD4mJu3ntotK_rEnFdZjufYckq3jXLOX7m-jMVchxfolSt3EhDe6RvD-KfWE4nO-IjWI-ZAGhS5mXRuL6odz7HaaqXG3yC2_JrVWA
308,261,"Colaiste Mhuire, Ballygar, Co Galway",Colaiste Mhuire,ChIJBetGrjIUXEgRpjZxkhcxX7k,M,39.7,85.8,110,103,10.7,090-6624740,CmRaAAAAovVymJvJbJXUpbzCD0dLIHuUe9jvg8rCo0drT4GRjvS-nM5GOe64VBV2NxqgRoqJfsSPizi_bSO9zrOpbBD4mJu3ntotK_rEnFdZjufYckq3jXLOX7m-jMVchxfolSt3EhDe6RvD-KfWE4nO-IjWI-ZAGhS5mXRuL6odz7HaaqXG3yC2_JrVWA
386,396,"Colaiste Mhuire, Mullingar, Co Westmeath",Coláiste Mhuire,ChIJqaYY5BvAXUgRGHF4P7plvMw,M,34.9,59.6,698,20,16,044-44743,
86,76,"Colaiste Muire, Ennis, Co Clare",Colaiste Muire,ChIJN2CxzDJtW0gRs8iY5vyknOY,G,61.5,88.5,0,927,16.4,065-6829497,
367,397,"Colaiste Muire, Ballymote, Co Sligo",Colaiste Muire,ChIJCR9EdgO_XkgRnBxpJcho8Mg,M,35.9,70.2,112,138,13.8,071-9183086,
224,165,"Colaiste Mhuire, Tourmakeady, Co Mayo (G)",Coláiste Muire,ChIJ3dKOTN3eW0gRd7IrtvAfaXU,M,45.9,84.1,88,100,13.1,094-9544107,
194,286,"Colaiste Muire, Crosshaven, Co Cork",Colaiste Muire Crosshaven,ChIJV8ba-kSBREgRiTj4UH24UF8,M,48.8,85.7,227,323,13.9,021-4831604,
384,243,"Gairmscoil na bPiarsach, Rosmuc, Co Galway (G)",Coláiste na bPiarsach,ChIJ_c21clG1W0gRNDij4PFd_Lw,M,35,64,40,43,,091-574100,CmRaAAAAdf3ptr8Do6pUBNmjLym4jxAOli2d3uGzj8Ln79caRKFzpxJ4nRYj8nPmnXdragy3U_BGFpG4Nh0EbwrMqiXSq7888jJUo5KYKKbIr0yvX1YP4i7gzG6ipPxIlQVq3Mc6EhB4XAvkYqFRMwBK9Oqt_XWUGhSUVsWWZak-WGH0O9ZFaroCxtIWsQ
14,15,"Colaiste na Coiribe, Knocknacarra, Galway",Coláiste na Coiribe,ChIJE2aFp8GWW0gR0NykGLolX6s,M,79,97,280,262,,091-592000,
221,268,"*Colaiste na Sceilge, Caherciveen, Co Kerry",Colaiste na Sceilge,ChIJceY2RRvzT0gRYZs4Kv4cikk,M,46.2,90.8,242,220,,066-9473335,CmRaAAAAkDGI3yeTiQDv0cfQlc8pU6oxihUSDNgnncAAJXxeMp9Pa0F9XhzHHCPD_IGAligKZj1vDr-Ja06knzAjipJyJYFZDjRiMzPUIlBYhhxczVEvfZAUuEKQih_95jPEmQghEhCxFACTFceh-gDKF2bNV_OtGhT1YahodrI9vyPXg1w7VS-8lSL58w
61,79,"Colaiste Na Toirbhirte, Bandon, Co Cork",Coláiste na Toirbhirte (Presentation College),ChIJ57gofzfxREgR3Qa6ey4ooPs,G,64.5,94.1,0,519,14,023-8841814,CmRaAAAAGB40cFga8DIdc_2MnHl8cdu8CYGaMrpDsJ9pYAMO1cpMP8X3ftnhwjqedLSXrCwsoYN37GgN5g5RUhq1UfAUqutVYWeHN7Koxhzhb5xHt-qphmvBF-vatRwbn4MIizCJEhBak20oGyVEiqiwVpFfantxGhR0a0cOBBtxMAcFVHQgzyZd419t7w
359,355,"Colaiste na Trocaire, Rathkeale, Co Limerick",Coláiste na Trócaire,ChIJr71PfJ03W0gRXj8ewuS4vaQ,M,36.6,76,205,265,,069-64094,CmRaAAAAfckHJCDtBNuVNk0Q2CQDNIHDkXSqaUgHltGdyn-lr8_s2ONMtrrad3o7WUsO6kX9OotOdUncUXUvMMiftbtj_1kRxwbcAhN4xLDqutCSPZ3YYCj6uCW9e_reipUb1EGpEhAsqaV0BdNgzB08UItAto90GhT24hwWFbq34n6aKIuj4l0H_LcHOw
349,381,"Gairmscoil Fheichin Naofa, Corr na Mona, Co Galway (G)",Coláiste Naomh Feichín,ChIJS4uUxorPW0gRdJ-JgWbF_xk,M,37.4,55.9,44,43,,094-9548006,
69,45,"Colaiste Oiriall, Monaghan",Coláiste Oiriall,ChIJjyxdtMyYYEgR9UVhZztvca0,M,63.3,95.4,107,183,,047-72344,CmRaAAAABY2fOKWHnJG7A4fQYiySGGAxVWjVNWD4OFSMG_bEt6SulVel6ib2PZFR1VKfRe2Dq8_etPH6Ftvu8etb-nAN1c785k_gSSTQN-S655CSRkIsKmKz2I5mXJ1o1n8zA7n8EhBJV7lzeO1TQJqbw70rOb51GhSyDKUTsUMgPT8itE8Tha1mhj60dQ
388,323,"Colaiste Phadraig CBS, Lucan, Co Dublin",Coláiste Phádraig,ChIJ-eKNHvpyZ0gRWhvfJ9hcIfI,B,34.7,71.7,652,0,13.2,01-6282299,
215,124,"Meanscoil Phadraig Naofa, Castleisland, Co Kerry",Colaiste Phadraig Naofa,ChIJM2hkHAYuRUgRc6guH4E7XoM,B,47.1,72.5,195,0,13.2,066-7141963,
392,400,"Colaiste Pobail Acla, Achill, Co Mayo",Coláiste Pobail Acla,ChIJSTHSGiacWUgRnraLwoJGrFc,M,34.5,79.5,133,104,10.3,098-45139,
75,84,"Maynooth Community College, Maynooth, Co Kildare",Coláiste Pobail Mhá Nuad | Maynooth Community College,ChIJ6xfK0uNvZ0gR7Wd-Rs_UlwA,M,62.9,85,583,568,,01-6286060,CmRaAAAAJUdeK-yLjyyJP1oyn0oshIzAF3aPVetFFUmSYn3lAI5FWVSCeQMD9oFWoCBBrUbu97Sp-yuwSV3-XbzmuwucmlMeDVToZsZk18olMe0gnpswf1GIxG2KdUcG9JVxULpkEhCfVBWb_jHac8Y3V_GC-PqIGhQmupkolyL-gNlYOCli86-XFoI8xg
370,353,"Colaiste Mhuire, Buttevant, Co Cork",Coláiste Pobail Noamh Mhuire,ChIJ3cZw_bSwREgRknldXY56kao,M,35.7,67.3,164,152,,022-23733,
93,72,"Colaiste Pobail Osrai, Ormonde Road, Kilkenny",Colaiste Pobail Osrai,ChIJCcQ1lJ4wXUgR8998mq6VCWU,M,60.8,86.7,112,127,,056-7764557,
385,,"Colaiste Pobail Rath Cairn, Athboy, Co Meath (G)",Coláiste Pobail Rathcairn,ChIJddL5xDFfZ0gRFO6AkFSKdAc,M,35,56.1,64,51,9.1,046-9432722,
336,,"Colaiste Pobail Setanta, Dublin 15",Coláiste Pobail Setanta College,ChIJ_Vj00GRtZ0gRRX_whCP8XkU,M,38.5,73.8,534,540,,01-6402403,
141,213,"Colaiste Raithin, Bray, Co Wicklow",Colaiste Raithin,ChIJs097PG-oZ0gRzMI7lo5ne3M,M,53.7,88.7,132,135,,01-2760288,CmRaAAAAI_lvZu3_VkvlHut-W_r4KC7K-3936Zw3Oche0nY-5lbB2MSSDOr9qh5L4ddm6dcl0wd-hCBDtdadDO7lt7-bRLpGiehenchx32-giy9YX1Uspds69SIXTF0GopTsVnVbEhBAH0jetBdmf_bsipIswfw0GhQT-V14ll0ayoqbImGd0mpkj_h9Mg
376,,"*Colaiste Ris, Dundalk, Co Louth",Coláiste Rís,ChIJF3koAqTOYEgRH3jaXSMARe8,M,35.3,83,434,177,15.9,042-9334336,
354,282,"Colaiste Treasa, Kanturk, Co Cork",Colaiste Treasa,ChIJfcd6tevFREgRIlSqh6W7Ypo,M,37.1,78.8,258,263,,029-50062,CmRaAAAA7KPThZZohMqckXLdbfKqGmbP29fRqjYcyAsHWjk8D-hupxGPl6jLJG6jGkD69DkIPdDFrLgBAG3l9lozb3OLDfNykNijkmRxia3Esl3y-2RH2Jv6MHj6aQdLZ6hkTBrWEhDdcJc2AQtXarD-DUq7ExeDGhRZYcd30SzOfJqZJ99KDgAsrNc4WA
375,235,"Scariff Community College, Scariff, Co Clare",Community College Hall,ChIJAWuL_ladXEgRheuAp5iR13o,M,35.5,68.4,191,213,,061-921083,
211,222,"Confey Community College, Leixlip, Co Kildare",Confey Community College Leixlip,ChIJucUxoB1yZ0gRemQXMCfUp78,M,47.3,83.4,424,315,,01-6245322,CmRaAAAA82vXJKrY9dwm5c0XBVUBzfDEloKuZ8yLkl75Nh8FiUflh66fc8jgI6e_2vFvpC3InjK5VIbOzUt_fJ4OHeKEZmXIWY8zRosQOOLPDYK6ILAgParsBqPi0IL8_75TrUXlEhDlFxZKBkRuUEz6Oio93TtmGhQIfxaSWBZqS1jFNQkI0Ip0LyS3jg
231,152,"Leixlip Community School, Leixlip, Co Kildare",Confey Community College Leixlip,ChIJzUObvYpxZ0gRMPxW8ZdHE28,M,45.5,82.3,386,317,14.3,01-6243226,CmRaAAAA82vXJKrY9dwm5c0XBVUBzfDEloKuZ8yLkl75Nh8FiUflh66fc8jgI6e_2vFvpC3InjK5VIbOzUt_fJ4OHeKEZmXIWY8zRosQOOLPDYK6ILAgParsBqPi0IL8_75TrUXlEhDlFxZKBkRuUEz6Oio93TtmGhQIfxaSWBZqS1jFNQkI0Ip0LyS3jg
28,24,"Crescent College Comprehensive, Dooradoyle, Limerick",Crescent College Comprehensive,ChIJZzF1sXpbW0gRV9pXUNrDe1I,M,72.9,97.1,470,421,14.7,061-229655,CmRaAAAAzqdgnKSnrrRKUcpX-FCAExGX2FTBMX2MbOLWYDQGWywqFVrn_VngMrnjqiKtqFKsi_gRB3TjmCHbYzM9Y0Qd9EcohV7Hnotm3vs20dOxR85hAz-wESsy_r1643wJtdT8EhDP_MXI_QoXII1T3R0CMNnMGhS4zRhlMkHb5IMhPud-kBAAA0wMAg
285,325,"Cross And Passion College, Kilcullen, Co Kildare",Cross & Passion College,ChIJ9xBVTsGAZ0gRG_u_qhwyeRM,M,41.2,77.2,383,379,14.8,045-481524,
186,248,"De La Salle Co lege, Macroom, Co Cork",De La Salle College,ChIJ8znsQrLlREgRCC0RilUhCp0,B,49.7,88.8,322,0,14.2,026-41832,
36,50,"Dominican College, Taylor’s Hill, Galway",Dominican College,ChIJnSfJbFGWW0gR3mZfExrwI8s,G,69.4,94.4,0,624,14.7,091-523171,CmRaAAAAB-YTcpN9qL6Ns58mbXja5aesXkIn5u0eBB7NNMISSK748C5GdESRDR-wFjpglEXFNfO19er6M6aJ1cohLPwwi7Wt8pd-JgfMVgUeB1CxqsjVHErh_v1McgRHcmvbT0JgEhAh4g7w69zb7T-EmHK1gzUlGhSUj-YlrFzNeuYTX5XvMDys-W07LQ
54,64,"Dominican College, Drumcondra, Dublin 9",Dominican College,ChIJEbrJJ1AOZ0gR5O8ek83cGJ4,G,66.3,93.1,0,707,16.2,01-8376080,CmRaAAAAB-YTcpN9qL6Ns58mbXja5aesXkIn5u0eBB7NNMISSK748C5GdESRDR-wFjpglEXFNfO19er6M6aJ1cohLPwwi7Wt8pd-JgfMVgUeB1CxqsjVHErh_v1McgRHcmvbT0JgEhAh4g7w69zb7T-EmHK1gzUlGhSUj-YlrFzNeuYTX5XvMDys-W07LQ
382,274,"Dominican College, Wicklow",Dominican College,ChIJCYI18cqwZ0gRavLUICbxAQg,G,35,71.1,0,443,15.7,0404-68111,CmRaAAAAB-YTcpN9qL6Ns58mbXja5aesXkIn5u0eBB7NNMISSK748C5GdESRDR-wFjpglEXFNfO19er6M6aJ1cohLPwwi7Wt8pd-JgfMVgUeB1CxqsjVHErh_v1McgRHcmvbT0JgEhAh4g7w69zb7T-EmHK1gzUlGhSUj-YlrFzNeuYTX5XvMDys-W07LQ
333,314,"Dominican College Sion Hill, Blackrock, Co Dublin",Dominican College Sion Hill,ChIJ-UioQdsIZ0gRwAHOnjq8sko,G,38.6,79.3,0,434,16,01-2886791,CmRaAAAA16Jm-XC-oF-mCz2-IxGXErvV-ajEqT2-t9L8cpkUf2qWiI3FUpbAfauGUKPi6y5bs8U4JxK9nbvWjr6Yg5Euwu5d4NIUIDaxmrwgP7Wh4nLgUr4mrjA5hFs678zvTLH0EhDdnRbTV3B3ZvdkR8TYkepdGhRPwRxa5VE1s_3wzvO1gEVgjGuLDw
398,,Donabate Community College,Donabate Community College,ChIJL48CfCgaZ0gRLs1AkLu1iRk,M,34.1,59.4,418,378,14.9,01-843 6726,CmRaAAAALIesKeV2jSXER8oWjivH8J0iJ8OVwhQeTHeTsqqzKlI0u1va2iZzYataZ2hQ5UyYCaamuEHaDYZqCgZj7uUrnwM5eN0uvb49OybB9U-1Ig0VssZAi8lwb2jzDlNSO9-oEhB0evLNnS5Hx7p6c8nZAk2WGhRj6DbSw6UXq7eOEPVKOF4Y-pwXsw
344,257,"Douglas Community School, Douglas, Cork",Douglas Community School,ChIJP5P5uVCFREgRX6_NnP1UZHg,B,37.7,78.4,589,0,13.8,021-4294201,
238,284,"Drogheda Grammar School, Drogheda, Co Louth (B)",Drogheda Grammar School,ChIJiUYDul46Z0gRIUAEsIDoU4Q,M,44.9,92.4,174,129,19.8,041-9838281,CmRaAAAAzepdvPFCuXkZ6v9UZ9y4CGZ7UhU-R0H08iaRCvcTMmadpwgfGPMHUmfBkxiuXl4QRIPwAwkL8KseX7Jy_IzRK6owznrIsB3TbibINXlQH-dfK-0UTpyipnOhSxqJ3TwLEhDEi7RLCMA_peiihOTDqdYUGhS_EDCSiQ3_yKY95eBxTHlCzaA6bA
396,379,"Drumshanbo Vocational School, Drumshanbo, Co Leitrim",Drumshanbo Vocational School,ChIJo8CoRTyJXkgRE-yVYnr3b04,M,34.2,59.3,135,143,10.8,071-9641085,
106,97,"Dundalk Grammar School, Dundalk, Co Louth (B)",Dundalk Grammar School,ChIJbdK7HAPMYEgR5cfQoqc9pIg,M,59.3,90.4,342,218,17.5,042-9334459,CmRaAAAA_KgiIu7UDLMYybe89WyJFIs0OCY_zVn7r-z0qH-zXxyLmFDys1pf3PUGKcu5iLYl-5OWdLx5R89gvv8uGWXfXv2WVAv-ismA9ae3LW5A5280agv60DgkDrPnnaT0OlaTEhCY6tZLkwaa_vvt9MvstLEgGhSURsjLi9pH95ClRXYQtGOU29nlhA
320,386,"Scoil na mBraithre, Dungarvan, Co Waterford",Dungarvan CBS,ChIJR1GZ2SEYQ0gRvcHjUwPB7AQ,B,39.2,87.3,319,0,15.1,058-41185,CmRaAAAA85e1-kATmDcqT2Wxf4Y2B3371uip_G5n97zTFhuVugC055lDBh_OtjzyfRyh2Iv2yxpYgb8NEyDgEAXfVTiI5Tp1tY49HTdKv9BtL_Qz_XsBULDHbGcmSSLT_8xyofWpEhAWLf0P5_KJe9dpiTvsP19mGhRNobdmezf_WReXwPd1bB-njsM60A
244,234,"Community College, Dunshaughlin, Co Meath",Dunshaughlin Community College,ChIJAbkrSH9pZ0gRon1i59TeZIE,M,44.3,74.7,584,430,,01-8259137,
171,159,"East Glendalough School, Station Rd, Wicklow",East Glendalough School,ChIJfY73A7ewZ0gRolQr0Eh69ak,M,51,85.1,190,176,10.8,0404-69608,CmRaAAAAqd5ceRMFLKzA1i2VzNjMML8hJ-Z-QdpQDMMpHKksqaKaCOKmB7Oxhscc2lFOFKL7wuMt4jptHqZGaxsyrRzLTwk1UQfuEBRpXQih9sLdjJlaPR9B_9F_39gznssIIGQEEhB47fHOCv3UYKUztDtan0UeGhR4Dse60QKpTdJDaYfZ7-j2BIdCuw
119,164,"*Ennis Community College, Ennis, Co Clare",Ennis Community College,ChIJn9fOCM0SW0gRSMqTtM7CrF4,M,56.8,86.3,217,191,,065-6829432,CmRaAAAAXyJSbCJu96aLCIGQbvsMdrcyNVBq6XzYcBeTiwEVjBpmYMU-69_i517oz_c5pdSuD0Xu4pqj9IWFujCYjxnMfBmVkOuS30Uo9QWBXOsWAQAVRTgiYXFREYOcBTyvt95DEhDIMdY2HFrWKHvbA18LsyL2GhTy-h_im1LGe58GBeFZWMcWRJtw0Q
116,157,"Eureka Secondary School, Kells, Co Meath",Eureka Secondary School,ChIJrR0Hn0hbZ0gRDdg7X2JcfAg,G,57.4,86.9,6,659,15.4,046-9240132,
168,183,"FCJ Secondary School, Bunclody, Co Wexford",FCJ Secondary School,ChIJ2YLsAosAaEgRAytRkpGKUzU,M,51.4,88,421,446,16.8,053-9377308,
235,343,"Franciscan College, Gormanston, Co Meath",Franciscan College,ChIJKyb4Occ8Z0gRV-DwGU3jdSI,M,45.3,77.6,305,134,18.5,01-8412203,CmRaAAAAP6jW_uzb7ug1NINHhjCi0Ov9sxsrkWIMOB7dIV5kXLO92CEcHcWXJJOSgSJ-IHM_31WpotaWj9aIVE561snM-ErXWmdaZKGxImZbTc0soRCng_UkIV-SXKxLZc5wKr0nEhCDgY9YzSE22QQAfWJgEG6cGhRMCz6Yzxlg7kxeiMexOltOcyEjyQ
283,,"Gaelcholaiste Chill Dara, Loiste, Herbert, the Curragh, Co Kildare",Gael Choláiste Chill Dara,ChIJc-mcyLx4Z0gR2MgzAMev8kQ,M,41.4,61.5,128,196,15.9,045-441797,
72,96,"Gaelcholaiste Cheatharlach, Askea, Co Carlow",Gaelcholáiste Ceatharlach,ChIJY-pleFtdXUgR7ZJXuYLkJvk,M,63.1,85,178,194,,059-9132130,
27,28,"Gaelcholaiste Luimnigh, Limerick",Gaelcholáiste Luimnigh,ChIJbQmh5mlcW0gRU-8hz0WaCWs,M,73.2,90.7,223,376,,061-404959,CmRaAAAA3CbMoh6I6QAFJzxF_gp_zyVnHhKi_06CqvZKIYb7ryGBLWpPwB1CfuDb4UmJdxHMElG3pcEj8UNncPC5Wqwd71P5T0xWSnSUvLkgUEVjTmc4FexDxpUMVgztITHgXkXmEhAFuVh0TBDwXJEOLNvabpFXGhSRpBg8OIkXp0oMRO8_sOOldmT1MQ
137,149,"Gaelcholaiste Mhuire, North Monastery Rd, Cork",Gaelcholáiste Mhuire,ChIJd_pvhGyQREgRBNtKjLKqtyk,M,54.8,95.9,309,212,16.5,021-4307579,
35,83,"Gaelcholaiste na Mara, Arklow, Co Wicklow",Gaelcholaiste na Mara,ChIJfXc-4OLDZ0gR9zdmTvBLkoE,M,70.1,91.9,113,92,,0402-91764,
153,146,"Gaelcholaiste Reachrann, Donaghmede, Dublin 13",Gaelcholáiste Reachrann,ChIJH00PjFEFZ0gRKKm9HJIJmgI,M,52.7,77.6,168,201,,01-8770935,
277,219,"Colaiste Sheosaimh, Ballinasloe, Co Galway",Garbally College,ChIJTVOMCN90XEgRtQ14iT_kMUY,B,42,93.7,534,0,12.3,0909-642504,CmRaAAAAnsv86gKRn6_kVCkm5FvK7DDRPgBKfHvOX7jPzcCORBRo08q3cxRbNlAfjOLIrPXhJMeIyjrOR9810KaqhelT09cen5EgJD15T4lIwemTRxXhSyFBhVHE8xxG5fGIkLDrEhD26kwGh1ikqOtLWz7bb3NrGhQq-dlk04Mm2aYEcxp7zqguj-wDOg
387,349,"Glanmire Community College, Glanmire, Co Cork",GLANMIRE COMMUNITY COLLEGE,ChIJX1GrRwubREgRdUmFeIe_VWk,M,34.7,76.1,584,442,,021-4822377,CmRaAAAAwrTOrwtLtfKc7DlmlTl2iHCoDXztXSGLHi2TzuxvSWRpCbeJPkRqAGmHZQKh4re0PJof6Vbcv_9w4_mPxxDxiEQi0e6e2QZWaqyUBNQzDwjUaJtKN4ufpsF2qVfFrBamEhAdOGYzfFcEdeIZJQP0zfOXGhR7lURnukECAdVyGIo5dGg_CGIQZA
280,283,"Glenamaddy Community School, Glenamaddy, Co Galway",Glenamaddy Community School,ChIJE9ABz2MFXEgRoGubf-kPXJA,M,41.8,70.6,173,202,11.8,094-9659315,
6,13,"Glenstal Abbey School, Murroe, Co Limerick (B)",Glenstal Abbey School,ChIJcbLpZdimXEgRhnjb79QvaYs,B,84.6,100,246,0,17.9,061-621044,CmRaAAAAs60T-rJW5lwry6lXRntWHot0dhaHbUlg9ixwldpX93z3Aewmx7wBk8lPgtMpvPvNLCoi-X5iT7EJaBHLWJ-IaGylZwgj1tn8WVKCSJOyahn-mnFW0ISazEiCcIhuCZSJEhB254pmhbLfVZQnrVaOnLIPGhRhVxuNUtMc1wugtS5suy_Jq1KRlw
8,2,"Gonzaga College, Ranelagh, Dublin 6",Gonzaga College SJ,ChIJE9plmK0OZ0gRp6U5PNFwx3M,B,83.4,100,552,0,19.7,01-4972931,CmRaAAAAUSsebeiXBtr6TabrU9fH4uB-hku5G5yZUSfnFJFCBBCgZYn4NU4YCbT8GBkNvTunFwwsAinxXfoD0UufdjjndEj3MeT_HbtikU_-SCYhwbG7pwbR96Jw18p1bB7WumJ2EhBHmmqCpuSreVeGp5_DFRMgGhRUvAZPLtJ8WVx8HzQNdrZSGwo1kg
339,285,"Good Counsel College, New Ross, Co Wexford",Good Counsel College,ChIJC8xD1LS2QkgR3hsEwhoj7j0,B,38.3,79.2,823,0,14.7,051-421182,
361,384,"Gorey Community School, Esmonde St, Gorey, Co Wexford",Gorey Community School,ChIJq6ZidVLmZ0gRAlcvB0-qqQ4,M,36.2,66,740,744,14,053-9421000,CmRaAAAAqaHc2L5GcelkNG0_wLDxKpZbMtJnygf9euOkcs851VVVPC8BPXecy6ouI43UWIvT77HPQsRYPklnSqTteprgNw45vNRZovFf7vid1eqRnGEd4ON2bJYCXh4UtvAGPF2yEhCsPrZNMD3eKPYuhihT0YmBGhSVPqBlRv7yqddw1L3lJKTdRvHqNQ
351,305,"Gort Community School, Gort, Co Galway",Gort Community School,ChIJv2DZyquCW0gRAHJ3g7yZtqo,M,37.3,79.2,362,378,15.2,091-632163,
118,119,"Pobalscoil Ghaoth Dobhair, Letterkenny, Co Donegal (G)",Gweedore,ChIJrQE7wKGCX0gRbARO9zcYvbk,M,57.3,94.9,203,196,13.9,074-9531311,CmRaAAAA6uaDlXja9hsVwfCvq2-CAKHRB7ggrJK78bq2OZhycpU7m6sczIE11Cz_Il-0DDpwIAauLRyUlYLorWdmgA6-KsRLXR3j5vAfUMkyEvKIgDFbGJq9QxiRjA0vNnqFLeahEhAx_mJxHphmF7m7S0uguGDJGhQoXv9r04P0rzsr4vhM3lvDU8Z5Tg
83,56,"Ardscoil Ui Urmoltaigh, Bandon, Co Cork",Hamilton High School,ChIJs6HMUCj0REgRqBF7KlQdZvI,B,61.5,96.5,379,0,14.5,023-8844227,
304,252,"Hazelwood College, Dromcollogher, Co Limerick",Hazelwood College,ChIJGXZNqxXLREgR0rqkC2hLHtQ,M,39.9,77.9,274,251,,063-83121,
255,238,"Heywood Community School, Ballinakill, Co Laois",Heywood Community School,ChIJsbXfdCkRXUgRmJsmAig5pkk,M,43.4,82.5,381,313,14.9,0502-8733333,CmRaAAAA3JJXgpEsk7fJgBjsNlm0xpAWUCoU_CMJhP4QXhxrIsQFuFKHWXJVoanIz68YK58mq1QLyS59NTEE8h-a80xBbPUQFuVnLw5N1HAe4Sxm09qz8jFKKehQ-ABBSIb3o9eYEhBY09qmZkE7A5GzpLX15XIAGhQBFfy16ULdGKmb2Scq8jo-8tJzHw
