Rank,Previous rank,Name,official_school_name,place_id,Type,% at university,% at third-level,Boys,Girls,Students/staff ratio,Telephone
156,167,"Marist College, Athlone, Co Westmeath",Marist College,ChIJqf3lHAxJXEgRHLSe3omzeqA,B,52.4,94.4,537,0,15.6,090-6474491
157,141,"CBS Roscommon, Abbeytown, Roscommon",Abbeytown,ChIJGbnC_bE8XEgRpsiBhhwEnIQ,B,52.4,85.8,348,0,13.5,090-6626496
158,138,"Ardscoil Ris, Griffith Ave, Dublin 9",Ardscoil Rís Secondary School,ChIJBStN008OZ0gRvZYZRX2aIFQ,B,52.3,93.1,526,0,15.9,01-8332633
159,263,"Colaiste Cholmain, Claremorris, Co Mayo",Colaiste Cholmain,ChIJI7jtUHb9W0gRN2eWK7mt670,B,52.2,89.1,410,0,14.9,094-9371442
160,229,"Mean Scoil Naomh loseph, Castleisland, Co Kerry",Presentation Secondary School Castleisland,ChIJp9gLfAQuRUgRyqPyYPMfLug,G,52,88.9,0,197,13.2,066-7141178
161,154,"Terenure College, Terenure, Dublin 6W",Terenure College,ChIJE0L8A_ULZ0gRJjWBqEZZ6KQ,B,51.9,97.8,690,0,18.7,01-4904621
162,173,"Malahide Community School, Malahide, Co Dublin",Malahide Community School,ChIJ9044O44aZ0gR2UOBS1r-yJw,M,51.9,92.8,609,613,14.8,01-8463244
163,144,"Scoil Muire agus Padraig, Swinford, Co Mayo",Scoil Muire agus Padraig,ChIJ54H_QZdNWUgRJ9AX3UEp5-Q,M,51.8,85.6,162,176,11,094-9251481
164,223,"Scoil Pol, Kilfinane, Co Limerick",Scoil Pol,ChIJ-wFrRXarREgRqGjv5zIoUE4,M,51.7,88.8,159,176,14.2,063-91197
165,192,"Mohill Community College, Co Leitrim",Mohill Community College,ChIJB3ilbtF9XkgRlou7TPYDfcY,M,51.7,81.2,155,212,,071-9631122
166,150,"Presentation Secondary School, Thurles, Co Tipperary (B)",Presentation Secondary School,ChIJvZRMf8fEXEgR2SsmVpx7kj4,G,51.7,79.5,,660,13.9,0504-22291
167,161,"Scoil Mhuire, Ballinasloe, Co Galway",Scoil Mhuire,ChIJCQ5Shn5CXEgRCSfUNqADxpU,G,51.5,86.8,0,483,11.6,090-9642206
168,183,"FCJ Secondary School, Bunclody, Co Wexford",FCJ Secondary School,ChIJ2YLsAosAaEgRAytRkpGKUzU,M,51.4,88,421,446,16.8,053-9377308
169,142,"Colaiste Einde, Threadneedle Rd, Galway",Coláiste Éinde - St. Enda's College,ChIJ9SqB20uWW0gRm6thYvK0pQ0,M,51.4,86.5,465,295,13.6,091-521407
170,166,"St Mary's Secondary School, Ballina, Co Mayo",St. Mary's Secondary School,ChIJ3aXPB483WUgRUg7e8bJHf6Q,G,51.1,83.8,0,509,12.7,096-70333
171,159,"East Glendalough School, Station Rd, Wicklow",East Glendalough School,ChIJfY73A7ewZ0gRolQr0Eh69ak,M,51,85.1,190,176,10.8,0404-69608
172,184,"Lucan Community College, Esker, Lucan, Co Dublin",Lucan Community College,ChIJ-2l4F1NyZ0gRTC4slxmLohE,M,51,81.1,478,397,,01-6282077
173,148,"St Macartan's College, Monaghan",St Macartan's College,ChIJVyzSHESfYEgRpXZ68OvAbHI,B,50.5,95.3,615,0,14.4,047-83365
174,328,"St Aloysius’ School, St Maries of the Isle, Cork",St Maries of the Isle National School,ChIJ4xpcTxiQREgRMMdUTUkLwe8,G,50.5,82.4,0,313,13.4,021-4316017
175,120,"Sacred Heart Secondary School, Drogheda, Co Louth",Sacred Heart Secondary School,ChIJ0ddXmiU6Z0gRPOL9oeI9y5w,G,50.4,83.1,0,599,16.4,041-9837812
176,181,"St Finian's College, Mullingar, Co Westmeath",St Finians College,ChIJwWp3xiTAXUgRIHEsFIjG0uw,M,50.3,86.3,372,357,15.7,044-48672
177,262,"Meanscoil na mBraithre Criostai, James St, Kilkenny",Mean Scoil na mBraithre Criostai,ChIJyXlvGXY6XUgRJlLRVahzwEE,B,50.3,84.5,674,0,15.1,056-21402
178,171,"Sligo Grammar School, The Mall, Sligo (B)",Sligo Grammar School,ChIJs5ENR0roXkgR1pJCqqqV-wc,M,50.2,74.5,261,191,18.2,071-9145010
179,205,"Our Lady’s Secondary School, Castleblayney, Co Monaghan",Our Ladys Secondary School,ChIJN2HkjgC7YEgR6VJoLG90lEE,M,50.1,90.7,318,372,13.5,042-9740351
180,281,"St Mary’s Secondary School, New Ross, Co Wexford",St Marys Secondary School,ChIJH0zZuEyxQkgR_WGhAm_2HBI,G,50.1,82.4,0,621,15.7,051-421637
181,200,"Our Lady’s College, Drogheda, Co Louth",Our Lady's College,ChIJ2WxwiT86Z0gRxDuWSeg-ZCE,G,50,86.2,0,954,16.2,041-9831219
182,264,"Mount St Michael, Rosscarbery, Co Cork",Mount Saint Michael's Secondary School,ChIJM9lUOFNTREgRBu1XPMF6BT0,M,50,83.4,203,170,12.5,023-8848114
183,112,"Ursuline College, Sligo",Ursuline Convent,ChIJqRrrpi_oXkgRbnMkjEc7SRA,G,49.9,91.2,0,723,15.1,071-9161653
184,136,"Holy Rosary College, Mountbellew, Co Galway",Holy Rosary College,ChIJqZlZh3ANXEgRU2ZCp0BGcHs,M,49.9,81,311,300,16.1,090-9679222
185,191,"St Colmc丨lie’s Community School, Knocklyon, Dublin 16","St Colmcilles Community School, Knocklyon",ChIJw2vewwgLZ0gRZyp2b0mEZM4,M,49.7,93.7,352,361,14.2,01-4952888
186,248,"De La Salle Co lege, Macroom, Co Cork",De La Salle College,ChIJ8znsQrLlREgRCC0RilUhCp0,B,49.7,88.8,322,0,14.2,026-41832
187,208,"Mercy Secondary School, Tralee, Co Kerry",Mercy Mounthawk Secondary School,ChIJ-QvDkaFKRUgRrHUmTPlPJqc,M,49.7,86,594,639,15.2,066-7102550
188,225,"Sutton Park School, Sutton, Dublin 13 (B)",Sutton Park School,ChIJBZdeX-UEZ0gRunCr2gJIye4,M,49.6,73.9,172,145,18,01-8322940
189,230,"St Mary's Knockbeg College, Knockbeg, Co Carlow",St Marys Knockbeg College,ChIJV5No3XRoXUgRvyMjnbCtfbA,B,49.5,77.9,423,0,14.6,059-9142127
190,178,"Patrician Academy, Mallow, Co Cork",Patrician Academy,ChIJ4YP25le5REgRw5ouctqSSWo,B,49.3,83.9,465,0,14.1,022-21884
191,198,"Loreto Secondary School, Bray, Co Wicklow",Loreto Secondary School,ChIJIfTF3WKoZ0gRwswpYthsGo0,G,49.3,81.7,0,831,16.4,01-2867481
192,131,"St Joseph’s College, Thurles, Co Tipperary",St. Joseph's College,ChIJU8Bbd7zBXEgRJK1mXhddItU,M,49.1,80.5,111,100,11.3,0504-51215
193,201,"St Paul’s Secondary School, Oughterard, Co Galway",St Pauls Secondary School,ChIJc3sSu8TGW0gRYKr9SAhHqdU,M,49,87.5,223,191,13.9,091-552689
194,286,"Colaiste Muire, Crosshaven, Co Cork",Colaiste Muire Crosshaven,ChIJV8ba-kSBREgRiTj4UH24UF8,M,48.8,85.7,227,323,13.9,021-4831604
195,187,"Salesian College, Celbridge, Co Kildare",Salesian College,ChIJ4wQpvrRxZ0gRnyyorotH-Ss,B,48.8,80.4,687,0,13.4,01-6272166
196,196,"Tarbert Comprehensive School, Listowel, Co Kerry",Tarbert Comprehensive School,ChIJQxON-bjYWkgRngHT8w2w2BU,M,48.8,79.6,268,285,12.3,068-36105
197,245,"St Flannan's College, Ennis, Co Clare",Saint Flannans College,ChIJhcP07CoTW0gRYn-qvBOt_LM,M,48.7,78.9,827,364,16,065-6828019
198,169,"St Louis Community School, Kiltimagh, Co Mayo",St Louis Community School,ChIJtUCAQzlRWUgR4upMfO0gRuY,M,48.6,81.7,278,261,11.4,094-9381228
199,174,"Loreto Secondary School, Balbriggan, Co Dublin",Loreto Secondary School Balbriggan,ChIJ0-ZbYSgaZ0gRapzDD-dG4-E,G,48.6,80.5,0,1263,17.2,01-8411594
200,236,"St Attracta’s Community School, Tubbercurry, Co Sligo",St Attractas Community School,ChIJdfn9apS2XkgRUwWywjl7HBQ,M,48.6,79.1,314,294,14.7,071-9120814
201,217,"Meanscoil lognaid Ris, Naas, Co Kildare",Meánscoil Iognáid Rís,ChIJX8eWS714Z0gRmCl0PUrR60w,B,48.2,85.5,"1,001",0,15.9,045-866402
202,211,"St Leo's College, Dublin Rd, Carlow",St Leo's College,ChIJ85hjRVZdXUgRV2YR3YBxYmU,G,48.2,78.9,0,"1,005",16.5,059-9143660
203,228,"Meanscoil San Nioclas, Rinn 0 gCuanach, Co Waterford (G)",Meánscoil san Nioclás,ChIJ7zuGPpEZQ0gRUO0udrIpBGc,M,48.2,70.4,60,86,,058-46464
204,251,"Ballincollig Community School, Ballincollig, Co Cork",Ballincollig Community School,ChIJO_idY26SREgRL0Qsow9CdYo,M,47.8,82.6,405,386,14.7,021-4871740
205,254,"Colaiste Chilliain, Clondalkin, Dublin 22",Coláiste Chilliain,ChIJcZe3wUFzZ0gR-MlkjgAeTP0,M,47.6,79.8,203,190,,01-4574888
206,160,"Jesus & Mary Secondary School, Crossmolina, Co Mayo","Jesus & Mary Secondary School, Gortnor Abbey",ChIJu-4lRxQ_WUgRRLowX4EVpCg,M,47.5,84.7,276,260,16.4,096-31597
207,140,"Our Lady of Lourdes Secondary School, New Ross, Co Wexford",Our Lady Of Lourdes Secondary School,ChIJZaODc7y2QkgRtBof3OacmKY,G,47.5,83.5,0,384,16,051-91422177
208,170,"St Brigid’s College, Callan, Co Kilkenny",St Brigids College,ChIJZXwIJBcsXUgRfyYVEUuIRUQ,G,47.5,82,0,227,12.6,056-7725189
209,209,"St Joseph's Secondary School, Tulla, Co Clare","St Joseph's Secondary School, Tulla",ChIJn4LK4WFlW0gRBf8ffogwivE,M,47.4,85.9,246,239,14.5,065-6835113
210,197,"Presentation College, Headford, Co Galway",Presentation College,ChIJieyRvN3rW0gRHUqI1eZmvwk,M,47.3,86.1,402,369,14.6,093-35408
211,222,"Confey Community College, Leixlip, Co Kildare",Confey Community College Leixlip,ChIJucUxoB1yZ0gRemQXMCfUp78,M,47.3,83.4,424,315,,01-6245322
212,156,"Loreto Convent Secondary School, Letterkenny, Co Donegal",Loreto Convent Letterkenny,ChIJ817zSMyUX0gRn9F6dTv9ttM,G,47.2,83.9,0,951,15.5,074-9121850
213,267,"St Cuan’s College, Castleblakeney, Ballinasloe, Co Galway",St Cuans College,ChIJrXtNFapyXEgRHfMmEcDYoks,M,47.2,80,134,127,12.8,090-9678127
214,203,"St Joseph’s Secondary School, Navan, Co Meath",St Josephs Mercy Secondary School,ChIJlaO5U0tbZ0gR8xRoyOjh5cA,G,47.1,76,0,705,15.6,046-9021830
215,124,"Meanscoil Phadraig Naofa, Castleisland, Co Kerry",Colaiste Phadraig Naofa,ChIJM2hkHAYuRUgRc6guH4E7XoM,B,47.1,72.5,195,0,13.2,066-7141963
216,143,"Colaiste Cholmcille, Inverin, Co Galway (G)",Coláiste Cholmcille,ChIJNcxLfPGwW0gRnBg8NnsAZX8,M,47.1,65.7,127,105,,091-593119
217,194,"Boherbue Comprehensive School, Mallow, Co Cork",Boherbue Comprehensive School,ChIJL6Zg30LaREgRtlrLkLZaKGA,M,46.6,80.4,150,171,12.7,029-76032
218,242,"Mountrath Community School, Co Laois",Mountrath Community School,ChIJg9cjbtgEXUgRKWiqdY5Myaw,M,46.5,78.4,396,383,15.1,057-8741080
219,218,"Ratoath College, Jamestown, Co Meath",Ratoath College,ChIJn6M3YhNrZ0gRquqq8EfqXo4,M,46.4,83.3,577,473,,01-8254102
220,206,"Skerries Community College, Skerries, Co Dublin",Skerries Community College,ChIJY66CO6cYZ0gRTHRN8q8onVo,M,46.3,81.4,517,417,,01-8490011
221,268,"*Colaiste na Sceilge, Caherciveen, Co Kerry",Colaiste na Sceilge,ChIJceY2RRvzT0gRYZs4Kv4cikk,M,46.2,90.8,242,220,,066-9473335
222,215,"St John Bosco Community College, Kildysart, Co Clare",St John Bosco Community College,ChIJIf9CsSc9W0gRv6-AN9fts1E,M,46.1,87.6,103,105,,065-6832300
223,158,"Kinsale Community School, Kinsale, Co Cork",Kinsale Community School,ChIJUwLageZhREgR4rbGmZiOVU4,M,46.1,85.9,460,448,14.1,021-4773174
224,165,"Colaiste Mhuire, Tourmakeady, Co Mayo (G)",Coláiste Muire,ChIJ3dKOTN3eW0gRd7IrtvAfaXU,M,45.9,84.1,88,100,13.1,094-9544107
225,195,"Oatlands College, Stillorgan, Co Dublin",Oatlands College,ChIJyVhLCB8JZ0gRci3lk7cDeFQ,B,45.7,88.4,547,0,14.2,01-2888533
226,175,"Ard Scoil na nDeise, Dungarvan, Co Waterford",Ard Scoil na nDeise,ChIJATG3wyYYQ0gRX1O63b4Eu6k,G,45.7,79.6,0,368,15.2,058-41464
227,275,"Colaiste Chiarain, Croom, Co Limerick",Coláiste Chiaráin,ChIJI7V3BwZPW0gRj7i5GNOrH-c,M,45.7,74.4,364,414,,061-397700
228,278,"Scoil Chriost Ri, Portlaoise, Co Laois",Scoil Chriost Ri,ChIJFRgNzcsNXUgRjn_jM7faALI,G,45.6,74.4,0,976,17.3,057-8668002
229,207,"Bandon Grammar School, Bandon, Co Cork (B)",Bandon Grammar School,ChIJ6Vm4FS70REgRphK181IGUmM,M,45.6,69.1,358,302,17.4,023-8841713
230,308,"Kilrush Community School, Kilrush, Co Clare",Kilrush Community School,ChIJMc2ktXPeWkgRFZXRr1WlZgI,M,45.5,85.4,242,202,13.1,065-9051359
231,152,"Leixlip Community School, Leixlip, Co Kildare",Confey Community College Leixlip,ChIJucUxoB1yZ0gRemQXMCfUp78,M,45.5,82.3,386,317,14.3,01-6243226
232,307,"St Mary’s High School, Midleton, Co Cork",St. Mary's High School,ChIJjTtvNi1jQ0gRDsg_zVnxflU,G,45.5,75.7,0,640,14.9,021-4631973
233,258,"Scoil Mhuire, Carrick-on-Suir, Co Tipperary",Scoil Mhuire,ChIJmVoqWuTWQkgRGRGKxDqnejY,G,45.4,92.5,0,448,15.6,051-640383
234,280,"Patrician High School, Carrickmacross, Co Monaghan",Patrician High School,ChIJ1ckK7SWyYEgRi-2L4VTYMJw,B,45.3,90.5,561,0,16.5,042-9661525
235,343,"Franciscan College, Gormanston, Co Meath",Franciscan College,ChIJKyb4Occ8Z0gRV-DwGU3jdSI,M,45.3,77.6,305,134,18.5,01-8412203
236,361,"Mercy Secondary School, Inchicore, Dublin 8",Mercy Secondary School,ChIJzQePNF8MZ0gRyD1ql9OBQQc,G,45.1,54.9,0,170,10.4,01-4531262
237,260,"Scoil Dara, Kilcock, Co Kildare",Scoil Dara Kilcock,ChIJwy6jzfpyZ0gRyyf25XhQKrQ,M,45,73.1,437,417,15.5,01-6287258
238,284,"Drogheda Grammar School, Drogheda, Co Louth (B)",Drogheda Grammar School,ChIJiUYDul46Z0gRIUAEsIDoU4Q,M,44.9,92.4,174,129,19.8,041-9838281
239,204,"Manor House, Raheny, Dublin 5",Manor House School,ChIJOcXrR4wPZ0gRtJmGoEsaB5E,G,44.9,74.1,0,773,15.8,01-8316782
240,290,"Ashbourne Community School, Deerpark, Co Meath",Ashbourne Community School,ChIJNSUMYeoUZ0gRkX5jxqKNOaA,M,44.7,85.1,600,472,14.8,01-8353066
241,244,"The Intermediate School, Killorglin, Co Kerry",Intermediate School Killorglin Hockey Pitch,ChIJL83QvutFRUgRVDrKNom85Gk,M,44.7,63.4,267,266,12.1,066-9761246
242,237,"Scoil Mhuire, Kanturk, Co Cork",Scoil Mhuire Kanturk,ChIJ_4_7r5zFREgRzg1guy7YtkM,M,44.6,82.9,113,144,13.4,029-50807
243,177,"Sacred Heart School, Westport, Co Mayo",Sacred Heart School,ChIJ6YWn-phkWUgROwULEvJ-vSQ,G,44.6,76.4,0,563,14.8,098-26268
244,234,"Community College, Dunshaughlin, Co Meath",Dunshaughlin Community College,ChIJAbkrSH9pZ0gRon1i59TeZIE,M,44.3,74.7,584,430,,01-8259137
245,188,"Colaiste Cholmain, Fermoy, Co Cork",St Colmans College,ChIJjXHcAj9fQ0gRTMIMfsxjtc0,B,44.2,78.7,442,0,14.3,025-31930
246,246,"The Abbey School, Station Road, Tipperary",Abbey School,ChIJ03NhymWyXEgRXrDLw633-NY,B,44,92.8,412,0,13.8,062-52299
247,295,"St Patrick's College, Cavan",St Patrick's College,ChIJdSs3Q98NXkgRIsvvtI7hLZI,B,44,87.3,649,0,16.4,049-4361888
248,182,"Mary Immaculate Secondary School, Lisdoonvarna, Co Clare",Mary Immaculate Secondary School,ChIJUZ6bTgKoW0gRCVNhUPtb0fs,M,44,86,114,120,12.7,065-7074266
249,220,"Colaiste Mhuire, Askeaton, Co Limerick",Colaiste Mhuire,ChIJD7SHLiI5W0gRLPbw3eePP8E,M,43.9,78.6,215,212,,061-392368
250,299,"SummerhiN College, Sligo",Summerhill College,ChIJLX1yXCC3XkgRy_bryj6Eu_E,B,43.8,90.3,881,0,15,071-9160311
251,301,"Loreto College, Mullingar, Co Westmeath",Loreto College,ChIJJzq70h7AXUgR5vFDsoc_xls,G,43.8,77.4,0,815,17.4,044-42055
252,266,"Our Lady’s Secondary School, Belmullet, Co Mayo",Our Lady's Secondary School,ChIJteRW3mioWUgRLq14OsVYdns,M,43.6,72.3,124,137,11.5,097-81157
253,255,"St Joseph’s College, Athlone, Co Westmeath",St Joseph's College,ChIJ3ymQ_wBJXEgREEE_oVrtp3Q,G,43.5,89.7,0,163,8.4,090-6492383
254,289,"St Brigid’s School, Tuam, Co Galway",St Brigids School,ChIJh-rbirT2W0gR5KKwtnre9aM,G,43.5,84.5,0,335,14.5,093-24199
255,238,"Heywood Community School, Ballinakill, Co Laois",Heywood Community School,ChIJsbXfdCkRXUgRmJsmAig5pkk,M,43.4,82.5,381,313,14.9,0502-8733333
256,277,"Loreto College, Swords, Co Dublin",Loreto College,ChIJb7c6cfwQZ0gRbD3Dg1CD4Kw,G,43.4,82.3,0,619,15.7,01-8407025
257,316,"St Michael’s Community College, Kilmihil, Co Clare",St Michaels Community College,ChIJy7F20t8eW0gR8-WLUxW203c,M,43.3,91.2,89,133,,065-9050021
258,270,"Scoil na Trionoide Naofa, Doon, Co Limerick",Scoil Na Tríonóide Naofa,ChIJmzHkVUKlXEgRUjhq5WTINYU,M,43.2,77,272,324,13.3,061-380388
259,287,"Borrisokane Community College, Borrisokane, Co Tipperary",Borrisokane Community College,ChIJP1zJ-sSMXEgRMaF-Jnd2ltk,M,43.1,77.5,306,282,,067-27268
260,232,"Scoil Phobail Sliabh Luachra, Rathmore, Co Kerry",Scoil Phobail Sliabh Luachra,ChIJby7j7NUgRUgRiM1BJ8ZmYBY,M,42.9,78.8,233,181,13.1,064-7758135
261,231,"*Clonakilty Community College, Clonakilty, Co Cork",Clonakilty Community College,ChIJR0et1udWREgRm2TWVxj4D0U,M,42.8,86.4,488,40,,023-8833877
262,190,"Royal School Cavan, Cavan (B)",Royal School,ChIJWWwc8TEMXkgRC-bhBentKdk,M,42.8,81.5,135,94,14.3,049-4361605
263,,"Mercy College, Woodford, Co Galway",Mercy College,ChIJ2SQAQ62HXEgRnCHbugPx6CA,M,42.8,78.7,65,73,8.4,090-9749076
264,292,"Our Lady’s Grove, Goatstown Rd, Dublin 14",Our Lady's Grove Primary School,ChIJz7rT_kYJZ0gR6E1jNbpM8lU,G,42.6,87.5,0,331,14.5,01-2951913
265,227,"Scoil Mhuire, Strokestown, Co Roscommon",Scoil Mhuire Strokestown,ChIJxQDTnNcnXEgRqqu9ixA6R_0,M,42.6,83.3,275,236,14.5,071-9633223
266,224,"St Raphael’s College, Loughrea, Co Galway",St Raphaels College,ChIJPxJqkhl5XEgRzUICQmStj-k,M,42.6,78.5,248,295,16.6,091-841062
267,233,"Carrick Vocational School, Carrick, Co Donegal",Carrick Vocational School,ChIJXynn6FI9X0gRJpaDWjEeIIc,M,42.5,89.6,129,98,,074-9739071
268,330,"St Mary’s Secondary School, Edenderry, Co Offaly",St Marys Secondary School,ChIJmektSE6FXUgRnjyqVGMinx4,M,42.5,79,384,388,14.4,046-9731457
269,288,"Portmarnock Community School Portmarnock, Co Dublin",Portmarnock Community School,ChIJTW5F1OgaZ0gRetxSKypfEVc,M,42.4,88.4,498,418,16.4,01-8038056
270,363,"Salesian Secondary College, Pallaskenry, Co Limerick",Salesian Secondary College,ChIJNZMwSdlAW0gRRKibE1JgLoM,M,42.4,79.8,328,375,16.3,061-393105
271,319,"Scoil na mBraithre Chriostai, Charleville, Co Cork",Scoil na mBraithre,ChIJO732WxKzREgRsEIDKzHwcs0,B,42.3,73.7,327,0,14.2,063-81789
272,341,"St Anne’s Secondary School, Rosanna Rd, Tipperary",St Annes Secondary School,ChIJhUBvxGmyXEgRnN7mMSWAncs,G,42.3,68.9,0,341,14.8,062-51747
273,221,"Templeogue College, Templeville Rd, Dublin 6W",Templeogue College,ChIJTf7MoOGZXUgRBYTgD0EubNs,B,42.1,97,687,0,14.5,01-4905788
274,272,"Balia Secondary School, Balia, Co Mayo",Balla Secondary School,ChIJex5iWNlaWUgR0aKBSlnp3vY,M,42.1,89.5,154,107,12.5,094-9365082
275,374,"Colaiste Mhuire, Johnstown, Co Kilkenny",Colaiste Mhuire,ChIJIb004pIgXUgRIWBKTbexTh4,M,42.1,84.3,285,224,,056-8831135
276,313,"Ballinrobe Community School, Ballinrobe, Co Mayo",Ballinrobe Community School,ChIJvQBMPD7nW0gRq4sHCAsoGso,M,42.1,70.5,311,318,14.5,094-9541777
277,219,"Colaiste Sheosaimh, Ballinasloe, Co Galway",Garbally College,ChIJTVOMCN90XEgRtQ14iT_kMUY,B,42,93.7,534,0,12.3,0909-642504
278,240,"Carrigaline Community School, Carrigaline, Co Cork",Carrigaline Community School,ChIJc5ycxsqFREgRQNjCQDXFlGw,M,42,81.8,572,580,15.1,021-4372300
279,302,"Our Lady’s Secondary School, Templemore, Co Tipperary",Our Ladys Secondary School,ChIJ9USprhvoXEgRXp0xAEd8Vg0,M,42,75.9,314,255,14.1,0504-31299
280,283,"Glenamaddy Community School, Glenamaddy, Co Galway",Glenamaddy Community School,ChIJE9ABz2MFXEgRoGubf-kPXJA,M,41.8,70.6,173,202,11.8,094-9659315
281,317,"St Patrick's Classical School, Navan, Co Meath",St Patricks Classical School,ChIJa1VU50VbZ0gRv4HU_SqSXtQ,B,41.7,78.7,894,0,16.2,046-9023772
282,345,"St Mary's College, Arklow, Co Wicklow",St Mary's College,ChIJY0CuOOPDZ0gRqGBUIA0cJs8,G,41.4,78.4,0,595,16,0402-32419
283,,"Gaelcholaiste Chill Dara, Loiste, Herbert, the Curragh, Co Kildare",Gael Choláiste Chill Dara,ChIJc-mcyLx4Z0gR2MgzAMev8kQ,M,41.4,61.5,128,196,15.9,045-441797
284,368,"Athlone Community College, Retreat Rd, Co Westmeath",Athlone Community College,ChIJy2BX7QxJXEgR0GlNL7tKrBc,M,41.2,88.4,594,524,,090-6472625
285,325,"Cross And Passion College, Kilcullen, Co Kildare",Cross & Passion College,ChIJ9xBVTsGAZ0gRG_u_qhwyeRM,M,41.2,77.2,383,379,14.8,045-481524
286,306,"Presentation Secondary School, Grogan’s Rd, Co Wexford",Presentation Secondary School,ChIJJ8hBMV0baEgRJBoP6LRVST8,G,41.2,70.8,0,796,15.8,053-24133
287,265,"Millstreet Community School, Millstreet, Co Cork",Millstreet Community School,ChIJc4l_sCncREgREysRMu6falg,M,41,88.4,139,157,13.9,029-70087
288,357,"Colaiste Bride, Enniscorthy, Co Wexford","Coláiste Bríde, Enniscorthy",ChIJp8I9dY0AaEgRbGeWqnWlz34,G,41,74.5,0,668,15,054-34245
289,247,"St Brigid's Vocational School, Loughrea, Co Galway",St Brigid's College,ChIJJasMLhh5XEgRXrFDzUQ5Tfc,M,40.8,88.6,315,286,,091-841919
290,340,"Presentation Secondary School, Miltown, Killarney, Co Kerry",Presentation Secondary School,ChIJ7zVqI2VIRUgRsLue62N5sto,M,40.8,75.9,247,315,14.4,066-9767168
291,276,"St Dominic's College, Cabra, Dublin 7",St Dominic's College,ChIJqRkiJjYLZ0gRuR8rb9_c8tA,G,40.8,69.6,0,858,15.4,01-8385282
292,271,"Sancta Maria College, Louisburgh, Co Mayo",Sancta Maria College,ChIJc0mF94yBWUgRd3qfYMTlRTo,M,40.7,76.8,205,200,15.1,098-66342
293,338,"St Brendan’s Community School, Birr, Co Offaly",St Brendan's Community School,ChIJc0kOMoj3XEgRcVctwf8_Lrw,M,40.7,76.7,485,472,14.2,057-9120510
294,331,"Boyne Community School, Trim, Co Meath",Boyne Community School,ChIJxZz1rgReZ0gR6fX9KlivnSg,M,40.7,71,601,144,12.5,046-9481654
295,375,"St Mogue's College, Belturbet, Co Cavan",St Mogues College,ChIJ00Q8Us0NXkgR6U0m49nshvU,M,40.7,60.3,129,104,,049-9523112
296,354,"Colaiste Bhreanainn, Killarney, Co Kerry",St. Brendan's College,ChIJk91_awc8RUgRJK9dvGcUY-Y,B,40.6,86.4,660,0,15.3,068-27216
297,279,"Wilson’s Hospital School, Multyfarnham, Co Westmeath (B)",Wilson's Hospital School,ChIJsZ2k0TTCXUgRkV5ZXpY3YDk,M,40.5,67.4,188,200,13.9,044-9371115
298,312,"St Munchin's College, Corbally, Limerick",St Munchin's College,ChIJpXjIMjZcW0gRskhuYZcxTKw,B,40.4,80.9,626,0,15,061-348922
299,241,"CBS, Midleton, Co Cork",Christian Brothers Secondary School,ChIJpbnsMtN8Q0gRzEuRJ5BaMsM,B,40.4,77.7,695,,15.6,021-4631555
300,383,"Newpark Comprehensive School, Blackrock, Co Dublin",Newpark Comprehensive School,ChIJn3rZp-wIZ0gRDC17B3XLZkw,M,40.4,74.7,439,409,11.8,01-2883724
301,335,"Mercy College, Sligo",Mercy College,ChIJ33V7X7XpXkgRYy9pL31stis,G,40.3,73.5,0,356,11.7,071-9143476
302,,"Carrigallen Vocational School, Carrigallen, Co Leitrim",Carrigallen Vocational School,ChIJV73Vu1ZwXkgRTlKPyDCW9IM,M,40.1,73.5,169,135,,049-4339640
303,332,"St Benildus College, Kilmacud, Dublin 14",St. Benildus College,ChIJcWIRQRMJZ0gRmP2zhusokRU,B,39.9,94.1,809,0,15.8,01-2987836
304,252,"Hazelwood College, Dromcollogher, Co Limerick",Hazelwood College,ChIJGXZNqxXLREgR0rqkC2hLHtQ,M,39.9,77.9,274,251,,063-83121
305,320,"Colaiste Ide agus losef, Abbeyfeale, Co Limerick",Colaiste Ide agus Iosef,ChIJtepyPIfVWkgRPW6Tu2cq8iQ,M,39.9,75.7,349,337,,068-30631
306,310,"Magh Ene College, Bundoran, Co Donegal",Magh Ene College,ChIJN2GFDRP9XkgRlmvOwFpqA-E,M,39.8,82.3,182,143,,071-9841364
307,311,"St Clement’s College, Sth Circular Rd, Limerick",St Clements Redemptorist College,ChIJt8QHr4NcW0gRpt0IK75R17c,B,39.7,88.3,525,0,13.3,061-315878
308,261,"Colaiste Mhuire, Ballygar, Co Galway",Colaiste Mhuire,ChIJBetGrjIUXEgRpjZxkhcxX7k,M,39.7,85.8,110,103,10.7,090-6624740
309,212,"Newtown School, Waterford (B)",Newtown School,ChIJlYJ0y6LGQkgRuiQm--r_HQE,M,39.7,67.8,182,190,12.9,051-860200
310,336,"John Scottus Secondary School, Donnybrook, Dublin 4",John Scottus Secondary School,ChIJWUUl4bkOZ0gRwxL14lWAlhg,M,39.6,80.8,60,65,11.4,01-6680828
311,318,"Community School, Carrick-on-Shannon, Co Leitrim",Carrick-On-Shannon Community School,ChIJL23nArKFXkgRkd7f4pJXnbY,M,39.6,74.2,308,305,15,071-9620880
312,,"Ardscoil na Trionoide, Athy, Co Kildare",Ardscoil na Trionoide,ChIJCWRtZ_JvXUgRdsLPm1Z2vHk,M,39.6,72.5,417,414,16,059-8633151
