Roll Number,name,official_school_name,website,Address 1,Address 2,Address 3,Address 4,Address,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Placeid,Lat,Lng,Photo Reference1,Photo Reference2,Photo Reference3,Photo Reference4,Photo Reference5,Award Title,Project Title,Project Category,Student(s),Award Title2,Project Title2,Project Category2,Student(s)2,Award Title3,Project Title3,Project Category3,Student(s)3,Award Title4,Project Title4,Project Category4,Student(s)4,Award Title5,Project Title5,Project Category5,Student(s)5,Award Title6,Project Title6,Project Category6,Student(s)6,Award Title7,Project Title7,Project Category7,Student(s)7,Award Title8,Project Title8,Project Category8,Student(s)8,Award Title9,Project Title9,Project Category9,Student(s)9,Award Title10,Project Title10,Project Category10,Student(s)10,Award Title11,Project Title11,Project Category11,Student(s)11,Award Title12,Project Title12,Project Category12,Student(s)12,Award Title13,Project Title13,Project Category13,Student(s)13,add
65181V,Mercy College,Mercy College,mercycollegesligo.ie,Chapel Hill,Sligo,Co. Sligo,,"Chapel Hill, Sligo, Co. Sligo",Sligo,F91CF80,719143476,mercycollegesligo@gmail.com,MS. COLETTE ANNE O'HAGAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,398,2,400,ChIJ33V7X7XpXkgRYy9pL31stis,54.267283,-8.4670677,CmRaAAAAtiHAgf5zh9orN_lzQwDi67koQ5O_Ype22om9duL9bh8GXiFFuc9f3AwRVB70W4h57ww4W58WNG0613ajiKweptaSvBlVf8G2Iz3bqbsofThFyTZaEQ3mNp5vR5VyGbwrEhA_28ILM3v0DKCJDjN6UZi1GhRg8KkfAfnJOWgIGfr2kAhpQ6WWrg,CmRaAAAAl0Za5kmDobSsYpsBnEFzQ6IlWGwmMhpCFI6JRa3x1KSFbMEV7nY9yFe0XdZZfw382pJI0ekjX7taO6nBZtdEF2CjB4s-e6ua1WTGdtyxvsUZTJFJngFPuSzuaQgMB4V1EhBHv3uzqcgVFBVJb_c380t9GhTUWcOEP0BJZuOz2a_oaZGY2Y19bg,CmRaAAAAHoZu-uQ1n3zW65WxFJYYn2DmhpfI0q9dmrQ7AshPd38oHnVC_LIEyR6JkcRqz70ascdryUin3b8FjhHjT86tqkBLjYvxnSCAzkfVk8_CUzWleAqR3QX4ApVlDUvWpUkPEhCsTmiFZwiE-scbZlI2-cmSGhQ_nBWNtFbQoI7lPKlyk5_4yrWfeQ,CmRaAAAAVv7p_0fCibQc9RRFSqPEi2VHnDBsY1YvcqeLeF65YvT6zIyge3nFkzxhk4iMZoJdPIdRKOC7DvgEDGDVafPRJfnC_0HY1_0KNv0ZFMgB9c1ceS9i1T6V_Jfr3msFhcOmEhCrDR1eqCyV-B8-lZq3dxQhGhTJExtLWrN6EYh2Dee59jOVtFT0Zw,CmRaAAAA5oPMXDsU47mBXLhmPNwHm7_TEU7_orsxcQmdVBnjMTGccB0Des_CXULUWoTu8UbZyCxv-8CHPCf6hFh9pZNwDFRC-d7Qda2b0DurZx07gHF_Rl44bSQM1yJ3e0YTJiWvEhDwkRdoRO1D96mQznSgs2RsGhSCJ_8x0N1B91rTYr-Low9PXZK6OA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65190W,Sligo Grammar School,Sligo Grammar School,sligogrammarschool.org,The Mall,Sligo,,,"The Mall, Sligo",Sligo,F91YW68,719145010,admin@sligogrammarschool.org,MR. MICHAEL DAVID HALL,N,Mixed,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,178,246,424,ChIJc0Ir6kvoXkgRGvKGF_ajKmk,54.2732373,-8.462927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65240L,Presentation Secondary School,Scoil Mhuire Presentation Secondary School,presthurles.ie,Ballingarry,Thurles,Co. Tipperary,,"Ballingarry, Thurles, Co. Tipperary",Tipperary,E41W627,529154104,presballingarry@eircom.net,MS. ANGELA CAHILL-DURNAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,119,128,247,ChIJydmxXCzWXEgRaP1ac3xRlCY,52.5897973,-7.5656567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65241N,St Josephs College,St. Joseph’s College,stjosephscollege.ie,Borrisoleigh,Thurles,Co Tipperary,,"Borrisoleigh, Thurles, Co Tipperary",Tipperary,E41WC99,50451215,office@stjosephscollege.ie,Ms Catheriona Ryan/kevin MCarthy Acting,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,104,121,225,ChIJU8Bbd7zBXEgRJK1mXhddItU,52.748946,-7.9599165,,,,,,BT Qualified Projects,No Mower Accidents,Technology,"Aisling Dwyer, Hazel Reynolds, Kiara Hearty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65270U,C.B.S.,CBS Carrick-on-Suir,colaistenambraithre.com,Carrick-On-Suir,Co Tipperary,,,"Carrick-On-Suir, Co Tipperary",Tipperary,E32P039,51640522,cbscarrickonsuir@eircom.net,MR. WILLIAM O'FARRELL,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,294,294,ChIJ7wYuf-TWQkgRp-Uw1n7v7G8,52.3485442,-7.3993946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65280A,Scoil Mhuire,Scoil Mhuire,scoilmhuire.ie,Greenhill,Carrick-On-Suir,Co Tipperary,,"Greenhill, Carrick-On-Suir, Co Tipperary",Tipperary,E32WN66,51640383,greenhill@eircom.net,MR. BRENDAN O'DWYER,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,433,,433,ChIJmVoqWuTWQkgRGRGKxDqnejY,52.3502427,-7.3998125,CmRaAAAAsB1WdYA9FvuAMpLTcvHdyW0Kyf3wcn0VBk6dEzhLxt_SNx6xPSFFhtZgTWHNQ-kZE74GHtDWDdwn_xMmeCJ8UxeblJeAD5URwNkHE3RcuRhsn7Zgd5djvQuoOhADxGYoEhCHLQhQep8EVlb9L2PpfxK2GhTzdiPXt4jwmRER0LKFJFDFaJChLA,CmRaAAAAp87t0qK0F-ViRBKwhTyUFE3S1ef4RIp9Svvbs6zhqNimh55UcLc7fNpcIO3W3OCKLuWTnLt7ovGSlniOZTbTOwqCkZ6qrRF3PagpWnVf0tFDR27d0EAAAOya_-7Q16MYEhB10dxIb9re3ArOCu5GqQUiGhR91FM-b-JykcJb_l_YRiH6u0SzJQ,CmRaAAAAE_4_7YIgEcjO-u8UpIU-nHr1LvEArN42ND8k2F5y5oFK8w3H7Ikkm4IWw5CUazna4wzPC472Uk7f3GN-cttw5ddqzoJ70TklbVsYLU5UmRBidpy5UWXgA0Yg8g1hTTWcEhCB9iKA8lHIZp_bH76kQjeDGhQhuDfqXDKzgg3vlAnVorprhuAgBg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65300D,Rockwell College,Rockwell College,rockwellcollege.ie,Cashel,Co Tipperary,,,"Cashel, Co Tipperary",Tipperary,E25ED60,6261444,info@rockwellcollege.ie,MS. AUDREY O'BYRNE,N,Mixed,Mixed,No subjects taught through Irish,N,Y,CATHOLIC,Open,121,379,500,ChIJ8X5SriHLXEgR9Wr9GvHBnQQ,52.45902,-7.8909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65320J,Árdscoil na mBráithre,Ard Scoil na mBraithre,erst.ieour-schools/detail/ardscoil-na-mbraithre,Clonmel,Co Tipperary,,,"Clonmel, Co Tipperary",Tipperary,E91AC03,526124459,accounts@cbshighschoolclonmel.ie,KAREN BRIDGET WHITE-STEENSON,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,697,697,ChIJa2KxRP0xQ0gRiX0OQnvawmc,52.3569233,-7.6985544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65330M,Loreto Secondary School,Loreto Secondary School,loretoclonmel.scoilnet.ie,Coleville Rd.,Clonmel,Co Tipperary,,"Coleville Rd., Clonmel, Co Tipperary",Tipperary,E91H273,526121402,reception@loretoclonmel.ie,MS. ANNE JOSEPHINE MCGRATH,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,524,,524,ChIJ71duch4uQ0gRjv6EI5Wf07Q,52.3503221,-7.6941296,CmRaAAAA8fVtTPhkptBAynT2pk9wCABOoqlgljsKZ1o9qDPvy2qPLUCCFi-ipqFeiNLn-Gdqt8LaeZWWxnWKhy_hC9fO0ZMcoVZaLlEOws9pAvtpXrxICu2erzZIFsfsK5MS6iFtEhClhxoeWFROlNa8FevLI_TTGhSnSjGagYDsO6ib9liPkELRshDRSw,CmRaAAAAphIkivwTsqe6jtdafes4yBGtvHMMd8GHcm2_kBj5MKjg52Xi3MRnPU02svZnwqSpl7RWLOi9Ndfi6VKPaBQGirIZSk73ONNCf70e6ckhB7OETIoRg0arMiP9cvnMEyWpEhAlK6PCeN4IlCx9ll2xIPzVGhSSL7QfU6OzYsOSBspPnqtdzVNuyQ,CmRaAAAAbO-SBbW7sduWYb3Phlx9WFW2gdHdcaFNuBy07NnabUzHg3amghdpBZQpnQzES042M4t_7Bq2eJ2K73-fPievQSQM4zY6pS5nQls0_94xLTArOSPCXWxpfeidkATFumBzEhDNKFg-TDSHpbvN8bgmtx8CGhQj9DsjG-LreTcZ1xAw6dDDZ5txfg,CmRaAAAATjGFPTd6x53bv8KiYPeK-7CVpiy1oSHFTNrQ-AvpYlvPXXTIemqWdDPTmv2SXG7nEDKrRs7PCyhVb6JSgCaNSj0YpJkjG_hkf-f3fyX5qg5U_O7BscF54DCvs61LeMnaEhBvTv9FjDjumJt9_D72tGhcGhRGRjnsKRymD8xKlT6_TUsaPis5HQ,CmRaAAAAlRaqWy1DTSJzOdlGYbcvB94e24CCCq5GLKjq_z8_OgGcLJpoCjxbKPbGOGb4T5h3ubbdLPbeUxsIwbO4wZC7gWZO9KBxYQP959mZV07E1jL6El4UToSI4hj6XpJ6T-I4EhCk_IPuy0RjucN_xmDfjwj3GhRi66gACzFCttVRxZKGQ2d2UDZWnA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65340P,Presentation Secondary School,Presentation Secondary School,-,Presentation Secondary School,Co Tipperary,,,"Clonmel, Co Tipperary",Tipperary,E91HY49,526123587,principal@presclonmel.com,MRS. ETHEL REYNOLDS,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,454,,454,ChIJG76HNuYxQ0gR4UBXdmwvTbY,52.3487616,-7.7172517,CmRaAAAAC3gHSWq779AoGUbrkXfCvsilZrYz_-L2AHtlHSawGKHRwPzb1Y_lCkbgZA7XPuOrPG8HXFKEjwFXdIjE2EqYg-jhTcGiUeJFnIVQv4uWv2DbyN5KZVlBqyUsp_fzfS8_EhCps_lboYfOuxkMR-p5pEp5GhTwKMj8z7Z6jhJpeaedKtOgM1Cbrw,CmRZAAAA1tCUbWTANM6sfYmGr25DsFM4ByNc9vvIMwtnIu5-hunW6Z8MJY9e9b_BQ4U2BkMzzs-4fr3oPgXWKgi002kWfKAIr_dBZhxIjaDGR5ugKJDZ8qShJXWL2SXMWmdSNr4TEhBMXaul9t2oMBwOzjBlCeRbGhTk9_LzWW0N_7Ep3Zx-rVujz_SSsQ,CmRaAAAA-ixWYH2rcaiRGc5ZeBGjCy7Wub9AAYgWDaiJOHUaMF4NskXlzE45VffZebPHO9h7isSLbOTw-5mcMOUKLHA3SK9ZmLsoQE5Dofq9acmPydAui7EAKoVwmoWKDkf-ubmkEhCOqPpRegE1km1DZ7AzTvstGhQ8qtVW6J2vWAlmnnqGyQWyRxN2IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65350S,Patrician Presentation,Patrician Presentation Secondary School,fethardsecondaryschool.ieindex.html,Rocklow Rd.,Fethard,Co Tipperary,,"Rocklow Rd., Fethard, Co Tipperary",Tipperary,E91NF88,526131572,ppssadmin@gmail.com,MR. PATRICK COFFEY,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,68,62,130,ChIJmfVk5cbSXEgRFMDYk-EmQAg,52.4667606,-7.696409,CmRaAAAAOKQPFRrGTpy6D8orOJEGVRBHnVYavOlgd1xpck6vWh0dpmUEahoQcfJY6FGBgkB0mNqfI9jBScAV-e9xtC3Ef4VSO-z59GB15Y5Of90z9EHAkyMXM0n90F3s-GvOiP6sEhC-0zVO6bM54ZG0XNtDMGdUGhQ3bi9zzd7-dftVebkOSeqhKiRNWg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65370B,St. Joseph’s C.B.S,St. Joseph’s CBS,cbsnenagh.com,Summerhill,Nenagh,Co Tipperary,,"Summerhill, Nenagh, Co Tipperary",Tipperary,E45F890,6734789,reception@cbsnenagh.com,MISS KAREN MOODY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,538,538,ChIJMauinFyRXEgR6mIumy8H_tY,52.8665478,-8.1930194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65380E,St Mary’s Secondary School,St Marys Secondary School,stmarysnenagh.ie,Nenagh,Co Tipperary,,,"Nenagh, Co Tipperary",Tipperary,E45PX63,6731450,admin@stmarysnenagh.ie,MR. MICHAEL DINEEN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,517,,517,ChIJpcU6T1uRXEgRQo8aXSDjQi0,52.8650613,-8.2017081,CmRaAAAAH8IbFaMUohAb2SOLp9PmIQHsneg088lq3HElx5t7FbiON71Luo68Z3LXo5yrzF-cdXPj2X4RIqoojLkFit1Qo0F-giOQhZSqP7dVWQduQuPDqjE2ZEzYXVKAeyVnzzjKEhDWfJYu3i30ovSFON-B_IYoGhRwjlBAprBRTUBdsmYL5mmS0jvPog,CmRaAAAA2JPzT_HzcUHt-_vqI542F5IVw-Cm2cSYIToiZWGNbXAR7T6hffXnGQ-JjPc62cXLvoGI3fraKSLAdStNGeF8QzdObjp3_dbBY_-Y2qH55M2Zir8i_DsBYOhYE1AP6PCwEhBw3rJkrJU9kNpAYGLVqj2JGhSfZnqfb7twaSyvbHm83GuZYrHd8g,CmRaAAAAdglaUF9zDL29kiGCegPISTYGl6TLlB3KiP5NFWrQ6B3lEvyU0fPDbzrV4tc-4WPsqMU3dSiAkSwOWnrdoWvovAaGpItvSzzfmLoue9TJJbkQ1FQap6_JkDiR6cD4GKH1EhCmKOTHHYWLDXbTPOd7_oCDGhQec_3rQ9qHcgIx05cl_ec9ZtRuyQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65400H,St. Mary’s Secondary School,Newport,smnewport.ie,Newport,Co. Tipperary,,,"Newport, Co. Tipperary",Tipperary,V94RY18,61378344,admin@smnewport.ie,MR. KEVIN WILLIAM CUSACK,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,262,263,525,ChIJC46tDKahXEgRcBgyl6nHAAo,52.7102172,-8.4187938,CmRaAAAA5B9kgRXNn9-JLmP4FJrtXhwCeO8LTto1Jy-UvM_HGLr58feJheaLcqRUbLdmUBpAoMoYpQHG6am0sszMcSeIaNbsuVaebU9uxa-xLUappcD1az4bPuKAopB0S51gyMhxEhBxTZkJNibNZfdddCUJRqG_GhTqLKNk_FG9OsvVyZam-u_BtHJQiQ,CmRaAAAAP9mAFAeYZ7wKR2xMavAy5Mq_XEkVEzn2nZfC2IoaeZBg8A2WhnISLMLk-6tvxcmPSnHRzeZXbal8EKeEG7WYp7bTm1hNcdhqSon2gSDHzDP1-zVEwUECNPTphtlj2QFTEhCoKlHJujMlBAXtnorSgDYzGhSxR7JaWUTKmFp4SwQBQi-FYvzrkw,CmRaAAAAfn4KcFS-FNSD_cqBFOzu3f7Vh9_EIgc-nLOtQeZEvxh8a6nVkWThY9Ls6X-s8FFd7CpYd5Cu4dMWLJ4tonI44WAaG_ZeQsFU9yfT3HNfNQSr8fpxFSaUVy2Czv_ffvfIEhDWfhwPK_MQaCXSkishFtWDGhStoMDlR25_kfQpELf4cVZe3G0QEQ,CmRaAAAAWmtPLPjIWm8dV_IhCaSvh5ocnMQJ36L4rt_2O1rzltQOrz5rgWPbL2N_kj4UaclKh2CvxXBb38vBh6YzEe0p_oKYgVT1MeYqBOhnKf0EXDUs1CLRNeKNh4EwZ6Wj6fp1EhBuNhOMaaG_HuR1dZz-8H8UGhR-JbYaX44wkQwtuTO_EMW810Nsyw,CmRaAAAAdoain7BkwRL9dQhTIFmeqC42sy9yjt8HGwOtdcVRMBl4F6lpYPjb4MghhuwXsmJfKyrg_TKQdk0LR9gB4qNUCLef07Evn7Yj3t5k6ujnImkFYgFvVwTGtA9-AZj_-Lz9EhDKp-BYIqBep4SwrocAjypaGhS_vmaxszI9ByRxh6BuDW-ihMADhA,Jack Restan Display Award,An investigation of the effect of different materials on bee health,Biological and Ecological,"Sarah Hennessy, Megan Freeney, Eah O’ Gorman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65410K,Cistercian College,Cistercian College Roscrea,ccr.ie,Roscrea,Co. Tipperary,,,"Roscrea, Co. Tipperary",Tipperary,E53DX37,50523344,info@ccr.ie,Gerard Greelish,N,Boys,Boarding,No subjects taught through Irish,N,Y,CATHOLIC,Open,,172,172,ChIJ9T4Xc7L6XEgR3qYttKMbmtI,52.9626356,-7.8548206,CmRaAAAAaKfbckV6UpmEO4QNDHDdfc47WwDjHWho6FQ2MIHBkaLLsud24je5GjA-gxj_udjByPw9YNnP4Q_GY933j2kxOnPT2nc8MrenHjsbA58cHHa7xARpRfaHX7RZ24jFHCu5EhAXcZWZqpSjk7Cb8RLtLcWiGhT8Sms2Lp7B2xVJwBxaPUzR_HvTMA,CmRaAAAAXMCE-7ynQwFrtx_2VzvK46nxyNItvdiK0t7CLdTlGh4Keb_-klxeXv0fF0Phw9lABaezKX_zuzlt6CBSVHujqMTijm0MfYE9mVZCD4JaJ6gScX3mM9N3BvQaM_Cq3TI0EhBGafGjl3SfCGqnI8vjm-PfGhQ1Cn-f2C81VOO2pSrf7P4dOXaMgQ,CmRaAAAASMf8qRJL1lIv9J8YYm14DiaztL_92iIFVHmYP_YmPJf6VosXBfGI_abm-Hslq5uKdVz6I84iDoRd-Zi4zD4CBjtk0H_8Icwl8TBijAcXx-v0xvJa5KyWGA500wvLW4-AEhBoynnmKaJs_HC5GE7hXQ8vGhQmHDm2uaS9QSUTsd5OqYIha7cIpQ,CmRaAAAAyVAvMMjZlq3J0f-8BxEADfvka_HhwZWJV_0s1-_fsGpWbdoD0GkXrbC225RkYsivV0w3q0uUFt36b3uDyk7v4Gmnx0QLDipBq8fRzzU2F_ObpumAWm_9o94dovqYOuTFEhCNOe5Ii1ocv43AHZc2th6QGhQWdyanoVC_ksDbTebscFvNb28_dA,CmRaAAAAV9BMqolHpmfOMngC9vw3Tt1zq08-8--TiTYf8LXOFNmgLh6t_eI4MwfOdcvXSuHzwX18VaBCE5UB4uxqlQgbeJCl_f1POvOCNI5zij9ZM60XdggYyp5FPbwWOMhOnMKMEhCh7wqFDh3AG-vFPm2QFwtUGhTnhJU7OCe3xApQSViuNfRQ402dLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65440T,Our Ladys Secondary School,Our Ladys Secondary School,ourladystemplemore.ie,Templemore,Co. Tipperary,,,"Templemore, Co. Tipperary, ",Tipperary,E41EA48,50431299,office@ourladystemplemore.ie,MS. PATRICIA MARY HIGGINS,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,242,313,555,ChIJ9USprhvoXEgRXp0xAEd8Vg0,52.7962469,-7.8294597,CmRaAAAAcBphwRLo2mzPZgh3uJlf9Z8_btKMP3Zw7ZpHIYVVg2QxmkJvh0am5iWWXS6KJ_Ejj9v1lbXWwb0sKFQ3sNxrS9d2YSu82r28i215P6LGBcmd8KAbZ7XyHh2wJd8Tzv1zEhBiXnD_0k3rNPRGcwn1hk9JGhSnc975YJzi8qaQwEhrBo0yqX--sQ,CmRaAAAAvzcF6JlkKRq60jEfRo3OXblMYVIuBxVKnXTHhjVoStiOxclvn9YDuIHxnuFNQVXQjgO768QfJeOH_l7_BmQUkMN9iym5vR-XYr6XqMEyy1lilwu7PSCHirZRHtJWm_LVEhDYQtpjhPsXKrNe1HV8uTnIGhS4acrn8Q6eg-ak7tlYrKPU1ScFDA,CmRaAAAAnhORMXBGiK6mGC7T8BWvAaGjXvgYFjQz8AN9Pni7lCHN4jTWx4mwsb_FHixmguIjH8jrq1bMBFrNSB4dAO4M_lYpu1wIRVAmbR0anQOOqyhPkfrnq7V5XX9Gqg2DbfVfEhDgfYM4Q38MbFRE0vFjHjr-GhR5K4zvcvenuBIxXvIFXGvKlgKwLg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65450W,C.B.S. Thurles,Christian Brothers Secondary School,cbsthurles.ie,Rossa St,Thurles,Co Tipperary,,"Rossa St, Thurles, Co Tipperary",Tipperary,E41HX75,50422054,reception@cbsthurles.ie,MR. TIERNAN O'DONNELL,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,671,671,ChIJNTHQZcDEXEgR2OWQAC2pL5o,52.6811987,-7.8142163,CmRaAAAAKqnHacs8TXpm0TgF-EVwnhBFf0piy3AjJO9YUvRCZlo8obUbvDbfQf1NOQJswIqD4Lu1Qr-YBSrKj0QkfiFAFe25QJ6Gnzc-4z99_JnLfxk9N1wN872WrlfkL-gwU7kSEhAuP2e2JFsyfNABiuFep8noGhSaXHW5TlH12j1SCZFehF9BWFfT8w,CmRaAAAAaRHEiWhhoIDRlsi5UjQ07LcMW6U7WO7CdjKI05NSdNnJA8z1t8zfD9pSCWe7aaL47UAJAU7TjDXic1VGTZPQRDDGQC8dwK4Y45QL-gyAEgxd83RvfxCSslXkQF5IZ5kmEhBbHtwVazSaL0F-OKyjcCRNGhTflBWRNwGvzvBMNWE_jsYvIV6_8A,CmRaAAAAQSwpQCklrCRgX2Yxq90WLngm7tYAUBgZym4gKvmuPgEzsNo1SgYoIi4GogV8tUtYofVzZ6wqrgnd4yL2GyXu9m4CvMXCC-5JPbfPRvfu2c57PC3Nm_iuvKovPFQFUgxqEhBoPLlmiZ1CD0qMiV_LURe6GhRDefScS5L9judhnyy6Wsgpx6l5hw,CmRaAAAAwCMkF4LPCJyF5J3fN40knDpFzI4_--LwTlWUx1EOOK6RQ_jZGtZosAILNn_UlJK1P6ZdMl5oT2qJGalZWDqzxnrjfa2S-5mFNNKmLxiccqPk-SIvdgSr9N1QHnG8YRXpEhDbanaBHIvol8cAYFYVKw68GhTWYvFK1m2EORMG6hz_39CcbbCdLw,CmRaAAAAwf74oa8O09C-OgFQvE2B5u1Eu0eDSPE_hgQr6_7SLxyUd20tZNQ6Ufwx135z4r8ebFKchgD-ElD-16a0BS2NXnH2kKYe0mYsul8tT4MyvVuPYknqvD8UXJmE3DuBAZtiEhARVIPB_0ougiFfZYYgBdNXGhSF1pdD-bDU4S7HX1x3kHLZFDGitg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65460C,Presentation Secondary School,Presentation Secondary School Thurles,presthurles.ie,Thurles,Co Tipperary,,,"Thurles, Co Tipperary",Tipperary,E41DF34,50422291,thurlespressec@eircom.net,MRS. MARY COLLINS,N,Girls,Mixed,No subjects taught through Irish,N,N,CATHOLIC,Open,661,,661,ChIJO3TVgcfEXEgRkxllIoEqDIA,52.6814043,-7.8070468,CmRaAAAAwckZV6LCsmsAgcePdOn9Z4K5QWcyh8I6nPOGyC0lHuoHEDLkJz2o668y9v0Q1tgqQUMT1yGvU_Cx1TmVZ-gx5JDYJDWpNAjTQKGplnwtvHcM38jRCZNLROa453-viq4SEhBf9uiz1M4cgVoEmSYjMajbGhQZp5QZH97atWXkRlnwtApdaHvK4w,CmRaAAAA135wF_8VS_OiFiktq9RToX_iWOq0wss3FQNTl8q7V3jNhqi__oTTY5LyM8x8BufNHMRsx3t7Zg4n68el_3A9zCjwXnAZZYAe0q5JyW5-tMwLj0LjhU-iHMuUQLrFExy4EhBF7ReSfEu03mjJtngzQg8iGhQAVI6Beez3A_eh7XmWrSBR5VHIBQ,CmRaAAAAVNJsyMBBpNsrrSQXJs5c-lQSbRYOuPSSb5K_Oz163OBr3IQ46w2DRFIqoVWZ385wih2xPtCJ9z3PltZauW1CoB_5c2PzfMmB2sm5ebww4K3P--DHL7mHHXVMDRWgmw4fEhBf4naC1MMFTQ2efnR5TuFnGhQxPdUAJROenm-71RxdtN89AxuZFw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65470F,Ursuline Secondary School,Ursuline Secondary School,uct.ie,Thurles,Co. Tipperary,,,"Thurles, Co. Tipperary",Tipperary,E41E726,50422147,info@uct.ie,MISS MARY T BUTLER,N,Girls,Mixed,No subjects taught through Irish,N,N,CATHOLIC,Open,780,,780,ChIJc6EGocDEXEgRCm4WG4WGPq0,52.6810604,-7.8120085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
65490L,The Abbey School,Abbey School,www.abbeyschool.ie,Station Road,Co. Tipperary,,,"Station Road, Co. Tipperary",Tipperary,E34PD87,6252299,abbeyoffice@eircom.net,MR. JOHN KIELY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,414,414,ChIJ03NhymWyXEgRXrDLw633-NY,52.4713498,-8.1592793,CmRaAAAAn2PIbQtJH5VtFKiCZ6COrV3LE5QB5_3gmqcDMbDMXST9SSRHcrPckufSAsUHYYdI46N5lharos6zK9k17AYKQbblyrmvyaYITCrjAOzvEhDtY-bje6XGmbjOwI_ckLUbEhADj8FXbRtSkbuAkFAQQUOXGhQeS0iRDgcn4HqogdKJKck-L4xkRA,CmRaAAAA5esLOaOQYWjgYYvvi3WiHPJ0nUVQsxVelzN_YVsq1bktebCj3XOqLZYoBgKNZpAkLNJrk0kyqJNCZDk2q-i1b0NAl0ORWELFWNWzZyE97MDlWH6jPY07bibAe9Dc954NEhBwkdlqMHoCH6rUmAbUVeG_GhSoNzbpDgvMlLLMrXPp4lpPDuWrmg,,,,2nd place Senior group,The Effects of Non-Selection for Physical Activities on Adolescents’ Mental Well-Being,Social & Behavioural Sciences,"Tadhg Carew, Jack Quirke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
