,Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Photo Reference 1,Photo Reference 2,Photo Reference 3,Photo Reference 4,Photo Reference 5,Photo Reference 6,Photo Reference 7,7,Photo Reference 9,Photo Reference 10,Photo Reference 11,Photo Reference 12,Photo Reference 13,Photo Reference 14,Photo Reference 15,Photo Reference 16,Photo Reference 17,Photo Reference 18,Photo Reference 19,Photo Reference 20
141,76083J,Magh Ene College,http://www.stgeraldscollege.com//,Church Road,Bundoran,Co Donegal,,Donegal,F94YT78,719841244.0,maghene@donegaletb.ie,Pat Tighe (Acting),N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,155,170,325,,,,,,,,,,,,,,,,,,,,
142,76084L,Moville Community College,https://www.stjosephscastlebar.com/,Carrownaff,Moville,Co Donegal,,Donegal,F93DN29,749385988.0,moville@donegalvec.ie,Eamon ryan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,259,295,554,,,,,,,,,,,,,,,,,,,,
143,76107U,Gaelcholáiste Chineál Eoghain,http://www.stcolmans.ie,Muileann Thulaigh Gharbháin,Bun Cranncha,Co. Dhún na nGall,,Donegal,F93XT38,749322350.0,cce@donegalvec.ie,Éabha Ní Mhonacháin,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,MULTI DENOMINATIONAL,Open,11,31,42,,,,,,,,,,,,,,,,,,,,
144,81010J,St Columba's Comprehensive School,,Glenties,Co Donegal,,,Donegal,F94C421,749551172.0,admin@glentiescomp.com,MS. FRANCES BONER,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,174,191,365,,,,,,,,,,,,,,,,,,,,
145,81011L,The Royal and Prior School,https://www.gortnorabbey.ie,Raphoe,Co Donegal,,,Donegal,F93T298,749145389.0,principal@royalandprior.ie,DR. HOWARD TERENCE WELCH,Y,Mixed,Mixed,No subjects taught through Irish,N,N,CHURCH OF IRELAND,Open,301,271,572,,,,,,,,,,,,,,,,,,,,
146,91406R,Carndonagh Community School,www.stjosephsfoxford.ie/,Carndonagh,Lifford,Co Donegal,,Donegal,F93VK61,749374260.0,admin@carndonaghcs.ie,MR. PAUL.I FIORENTINI,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,517,512,"1,029",CmRaAAAAKp6krptFd8DznnMmhYji9Aruc3JFN0nD2EkZD8aDEwzmH5KXKiX6ZAn3wDUqmRQBIih-3l2AC4DA2uCETl3L8wOpv1BxdzAh_i9w3r0s_bTnHyrJvX-52xMlCqCLby6SEhC4D1jrL6ZTj1VjYyiEu8jOGhSNPiXKZ46nMLXga9aiFxSgsd0kPg,CmRaAAAA9oFcxt663R6d-0fJOwDr73HQVOzvDe1X5S6Sw9KT0CyY0wy0PLUk8fkxljWIJd2OBU3Mh7MjDg6odKPOd3s0vfnI4mGIXZ-E_rclXnj_DmYAzvryz7zU4uhn908c5zSvEhB65qJ419MSHLV5ZkXHq4mYGhQg8yBX7cgGtP3Me0RBFVuFIIVzAg,CmRaAAAALh6AWGawGKmuEiYDs75Y_rwat85j9ZFLyifeWUdTLZQoqeHaR8gvXYonrlqKXiVOlfi0hGdMnI_XKLYMFZpUXOBMqa8vJ1V1xN8vJBe1nqqO8yx-UA65eRUhbwO7AOZkEhCuoKSKQHYRxlvBZ0lB3KUfGhQgDhFQQiIM-T6vxJhBtJK0f-17IQ,CmRaAAAACdjEPKAw79kpD-70dwsh1jT-0XmGiNaeWsshGsmISPSszYQjUIuarnS9XOduY2GcJ6MXL61I5-uOXkaeG2CmU8zvyE1Zgik_gYtYxTcuqDXedRg77krdewhkoz9Js7VhEhBb81CGxpOTdQvF-Y6Md-D5GhT_nFIfW27xNswTRbdAy76QtF4rOQ,CmRaAAAAEWtB38qNrhnbZzN7d4iva9vrKSgPy4asu-qHlEtXvSEDZxEpps0jBL--q2HyVPWWouKTxDPv6EaOGPjU8V_ZThFZ4O-Q-4calvNlpDarHZAAUbS8kBSFG4kg-Th77mIWEhCdQJ67h0QaORHfvof-KSGKGhRlZ3cRu4bOXxglOAqVMc160lB4og,CmRaAAAAPYvxq176l1AefrvmLaNMPs_9yMNkTBEv4YSQwk5gVA3LVkz4l_3u1GPPR3AJDVfjxr3m90ruNNGKDHt3Rp1Kq-CDbLvqNLQOxgdh9ys_-IOzB19Wwd6ZObasc5u0QuqhEhBbWo6Bc8UdjLGGHI-lYusKGhRqTKewNfJ9cTjmewrKdqTSMIMG0w,CmRaAAAALWd_qgPZyhV1e2kwpqFxPxTTEx5t6CyR89f9bo_pQZJ2zpO9SgU_ZWbIKbWjiJ5mf69YplOld_Z6AhbKt5sqjPPhIqayABTJ28ftJoc1EDSSHgr68ODjW6-cGq041rc5EhDwlx6QzURlT0_mX1v8JaZmGhQXUnzU_yfRiXQBUR246cc81rkRrg,CmRaAAAAr_HwAqeGrrR7UG0qsvpLymTiY44R5qaZukqLKlXxJ48OISyFD8Dz8QWDSoCoz9rkwn-45K6tKjIk5L5H_uUDtjMwNeBV_ZblaehUQ2C1_N-L3iASG5HungI9rQ85MzquEhBVmmDaDfhJffWOsN5KtWxZGhRICWj9HQnpDcx9uZB4uCB5scOxag,CmRaAAAANDI67WJTMnMcbtoQ8VCKoMN9JUlY4PUUDSuUgYZrUYlA97S1gnPMlO9sh5R_j83LNh7VrQQRiDRZQvhTFJ12GaCOnnb2_KTi-kK9gdzguupLcHadRzQtIkwJFYZjgT4hEhDkeChZ68Tc5fF6ep64V2Z7GhTOrD3-lyGYb4glPdf17LukgZCC2Q,CmRaAAAAYcJzzb-bpLk696Y8q9UG1It6fUlTwpD9nbadLHdm4KR7V4m5wMiMb0OeXufMpvYBKeEVKAaIMSm_eImUMmnzqbMQOR-hQc9xX7s-lgjcilVnn9URxUdo7H_KwcPaWM66EhAr2TeiIhUvQKk5fm0cs6YGGhTVTSlNPhXOIAYaTc_LRUsaeajl4Q,,,,,,,,,,
147,91407T,Rosses Community School,http://www.sanctamaria.ie,Dungloe,Co. Donegal,,,Donegal,F94NX79,749521122.0,jgorman@rossescommunityschool.ie,MR. JOHN GORMAN,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,171,235,406,,,,,,,,,,,,,,,,,,,,
148,91408V,Pobalscoil Chloich Cheannfhaola,http://scoilmuirepadraigswinford.com,An Fálcarrach,Leitir Ceanainn,Co. Dhún na nGall,,Donegal,F92KR25,749135424.0,pccfalc@eircom.net,MS. MAEVE SWEENEY,Y,Mixed,Day,Some pupils taught some subjects through Irish,N,N,INTER DENOMINATIONAL,Open,244,222,466,,,,,,,,,,,,,,,,,,,,
149,91409A,Pobalscoil Ghaoth Dobhair,http://colaistemuire.eu,Doirí Beaga,Leitir Ceannain,Tir Chonaill,,Donegal,F92HX52,749531311.0,pobalscoilgd.ias@eircom.net,MR. JAMES O'BRIEN,N,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,211,207,418,CmRaAAAAS3vjHm5FjxuXCNUjAioc2k5iy_v9_vDwXdQf3Q3rVSRK8HGVPU_2bKOpGIk--lOCiscNjaofeUlFxuwETGM6rlNvMJq5cCabwuZxb_gf6vHIO-_WZg6PMulV631dngiMEhAxqGcQGriBfmX-XC38NP-oGhRyG7l_8XOTyCV9LU7329SLZwJa1A,CmRaAAAAPXwP5HvLtWuVf21YBGIk02BxGp1J4OIt_3H6JRsZjsfU_KbMKWP3veFMbplrevZ6eSyHlGtPEOL2TqMJUAMu5gPdso2-puxMRxVN5vbbVMvog_VIbG5g4R2zFwTprHdzEhC1D4V58UNcF4O-fEN0TSBoGhQw5N8I5wM8SfJm2R6X3t7gBRhw3A,CmRaAAAA_fKObujbpS5q8CboUdbHmtXPHWU_5CoisxX8xfmd1uKXXV3TIzMNC2E8d8L4SMiWS3v4BsBd907n-twaiqZb5Eh_-1FtHM6j1YME1qt60TE5bWtmv2CG3vrcOhdTDCwtEhAXM0IXO_e7KY9yyAWg1cRoGhT9fWj5-qc7M543Kz6OHSSO0OvShQ,CmRaAAAAQV552Lb99MMZi2blQaaVefHiT48q6ZZBAlCZrRmEhR9HQDgTJb1fMg15qj021dHiHut9AVZuLmRnZk4bRKDOIruJ2HVNXlfT19W0aS2P4RkcRh_Ova2ipPr-IO2LOjeOEhDn1RQCLW1_9AA6qjE_QJooGhQz94LgvT1a00nwAnl6RRMAdIToYw,CmRaAAAAHyfhoB7VTSdNpZo_oo2Q530IA9IdKb9R5hLS7Hj1TffRdhHYkWP--peI5T33KQVC26kX1rsiXqjpgRprFS9Z4w1Y9v_65kh_oRNphMVKz9l1Sme4W66vrvGV3kD7TkHcEhDtruJfUt-QGJRhbFNbcjroGhR_Krw7sfSYezIk3UUyf4rMsPphfw,CmRaAAAAiOexxLw3Ex21O3QEq2uMgmKVzDi-nN9MoVeL1AwWUAMr18XDkgbwjfzQ7gJLpAPxmjJ_UfE1c7NFskWJy3nVb7vpxBa8wSO5GXHC-bIsCwBbG5rAy4z392outRhsok0ZEhCDdzKStOAJ1rjhXEcX9YRxGhRWo9qgjOitF2teN2R16vNJ7vdqfw,CmRaAAAArgQhkC0qFN0DM4xlIUrgCx1iv8oBA_gLLkZ6krtzhi9BO3SqbJFSOwgR34MMOHzkxsVewDnUwNS9IiPER3d4R0w7IHztCvBfJrsPk5XT6f9k6Wh6D2cJ8vL63MOsnb1TEhBcDmdOD2_nBuP3Lu-3pyu6GhSvxLEFFjQaFQB7krKBdhHqeiPhCw,CmRaAAAAw05-etJzD3U87GZKy5_NkiojpGaQrHtUhkUMvG8k6YO3zDNS2XlON8MDY6vdz923r-hj7-ND1ftVl0493R33ZKJMp2Ol2WXD0Pe-s5TNFAzcAD3y9nI7iTWowTdmydKAEhCuVvyschO7jiRjOEt5ykFoGhTbt3a1AQmRZMAG9MREHxa554VDAA,,,,,,,,,,,,
150,91500J,Loreto Community School,https://www.ricecollegewestport.ie/r/,Milford,Co Donegal,,,Donegal,F92FK13,749153399.0,info@loretomilford.net,MS. MARGARET MARY O'CONNOR,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,377,395,772,,,,,,,,,,,,,,,,,,,,
151,91506V,Coláiste Cholmcille,,College St,Ballyshannon,Co Donegal,,Donegal,F94NW62,719858288.0,jkeogh@ccbs.ie,MR. JAMES KEOGH,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,332,310,642,,,,,,,,,,,,,,,,,,,,
152,60010P,Loreto Secondary School,www.loretobalbriggan.ie,Balbriggan,Co Dublin,,,Dublin,K32R248,18411594.0,office@loretobalbriggan.ie,MS. ANN M MCDONOUGH,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,"1,276",,"1,276",,,,,,,,,,,,,,,,,,,,
153,60021U,St Marys Secondary School,http://www.stmarysbaldoyle.org,Baldoyle,Dublin 13,,,Dublin,D13W208,18325591.0,info@stmarysbaldoyle.org,MS. EDEL GREENE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,312,,312,,,,,,,,,,,,,,,,,,,,
154,60030V,Blackrock College,https://www.blackrockcollege.com,Rock Road,Blackrock,Co. Dublin,,Dublin,A94FK84,12888681.0,amacginty@blackrockcollege.com,MR. ALAN T MAC GINTY,N,Boys,Mixed,No subjects taught through Irish,N,Y,CATHOLIC,Open,,"1,021","1,021",,,,,,,,,,,,,,,,,,,,
155,60040B,Willow Park School,http://www.willowparkschool.ie,Rock Road,Blackrock,Co Dublin,,Dublin,A94TW98,12881651.0,info@willowparkschool.ie,MR. ALAN JAMES THOMAS ROGAN,N,Boys,Mixed,No subjects taught through Irish,N,Y,CATHOLIC,Open,,203,203,,,,,,,,,,,,,,,,,,,,
156,60041D,Coláiste Eoin,http://www.eoiniosagain.ie/eoin/,Baile an Bhóthair,Bóthair Stigh Lorgan,Co Atha Cliath,,Dublin,A94E122,12884002.0,ce@eoiniosagain.ie,MR. P.S DE POIRE,N,Boys,Day,All pupils taught all subjects through Irish,N,N,CATHOLIC,Open,,495,495,CmRaAAAAo8BpL3F16v5X4weHDJCdyqAHAAtXfP98om2fzAjV9mpMzKWsKHnmB-98pKVAVCgm7TJVmZIoH6McxNdk5gGIDui3r0JN3n8-2FFOCsHQv2c7MqfVsNe7xe0c9aTn8bhvEhALRTPlUtaU3U2aRdJ3NRufGhT062m_rnVOe6FmT9kpkboe5S9vwQ,CmRaAAAA8nPZRTEStTxb56oWBU5ptCovOLLDabqmV1ufaLHTjxtg9kzcucdXkt4v50H7PO7MLzTu8bzUMiVUVdymZS7X_eMxVPU7Rupwov9P-XGiJet7GbrA01wfnz28nIP57pyHEhCPEbARtTQ4tGXzzDf9lT03GhQS0tRZc6Hll8F8FoeLnkf9nZ8r3Q,CmRaAAAADIMe6CN7D-wAh5b7-aBVuRQg9hLWYKDrKJhs_2dir-G7Y8ZGPkLdK2utWxdTlyhmWRtxbYqrnB74mTnuF8q688Ja5LFNV1AAU_DRd5cixe81VJxQ-uRCjo8tlKfEfopCEhBgPmq8cEEfnCm2_UJFKyRrGhTVHYP6Qo4adAMY2s6a1E8oDkTuxg,,,,,,,,,,,,,,,,,
157,60042F,Coláiste Íosagáin,http://www.eoiniosagain.ie/iosagain/,Bóthar Stigh Lorgan,Baile an Bhóthair,Co Átha Cliath,,Dublin,A94KV12,12884028.0,colaisteiosagain1971@gmail.com,MS. FÍONA UÍ UIGINN,N,Girls,Day,All pupils taught all subjects through Irish,N,N,CATHOLIC,Open,494,,494,CmRaAAAAV4F6jZO41PJA1t1Et4SPZoQlcav6TROkx8sKxNyxDrSaiU1w1qE27I_oZHoGDYRsSBrl6A3yDyhbThuaI_a6IgySEyg6YOEaiM4HD0GoCufsiOWXk5Ky4jl3Sigj3ZIXEhAC6Uh_1WWZMWFMfgAklPn0GhSBYMOjeCZ540FPtNGqTTfPtynY-A,,,,,,,,,,,,,,,,,,,
158,60050E,Oatlands College,http://oatlands.ie,Mount Merrion,Co Dublin,,,Dublin,A94HX38,12888533.0,admin@oatlands.net,MS. CAROLINE GARRETT,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,545,545,,,,,,,,,,,,,,,,,,,,
159,60070K,Dominican College,http://www.sionhillcollege.ie,Sion Hill,Blackrock,Co Dublin,,Dublin,A94TP97,12886791.0,admin@sionhillcollege.ie,MISS SHEILA DRUM,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,441,,441,,,,,,,,,,,,,,,,,,,,
160,60081P,Rockford Manor Secondary School,http://www.rockfordmanor.ie,Stradbrook Rd,Blackrock,Co Dublin,,Dublin,A94H294,12801522.0,info@rockfordmanor.ie,MISS MARY CAFFREY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,314,,314,CmRaAAAAU89wcy-7llXDK41ptJ6tEy9g2I_vM3zoo97UzmPax44BdciMyu9CqOcMvzJr5-59PRszaBcSmcoqoqE1GAd-8WH5KwUaLZe_FbyQRcJq_aqJWdbnJcBlc8agZUiPPE2VEhBICUzp7vKKARogwbN1H8wRGhTXwSXLT63qgH_F23jI1KZfgyJn2A,CmRaAAAA-KpT-MryLjTm_6aFqjo6inTMJEGGI4drKkF16KNhKWMyPautWhTEsEeZg-ZTtO5WAk9L4IxlwWZ6CyDHah5S4Vk1dBHBusph6qOGDvSqaeBdZeLvNQcf6HMl_UsBgXbZEhDrHgOvpmBNRgm_4kilcYSaGhRyDqjlG_5LAxs90AZ8JfLZ_HgRPQ,CmRaAAAAgV5hZUlqrNZ48j3Z3ljK5ACbUuJd8_r8S00w0VZb6TEigN-hB2IyaAGwwI4jW-CbSOHGSfh4IUGrDO2G4h2M0eQj2ykDQMOAX3ZdQw33wsRG6ac5BK4qEWEIIOl9C3_MEhDHBZPXp0yb1NtU7hbcjBvwGhRT1wzgiy9WD2kgn0qTMgqJ0vPEGw,CmRaAAAAJ2f80ssueLU_YeV9SxwFpt-nW6vhAVjwS_RrkzUnXRMTHGxkEghTNniWjQPrTUhemJgSZ0ehaK5UrwCHTa1QsdfanFbn4kEI7IjqokA93rEdc5-goe-8QGFL3UqFKaZAEhCXEjIfaOihX-4_e16I6odDGhQYbwMNH9NhERcUWfrHpWfGnzu8kg,CmRaAAAAV0SunFKUcyYHfFAxUqhbigZbshgZJ-w8WSKwkQ8bbL_-OQm-yD7KTVlRmcpr-gcEHffGHpPQk-ytw9pLIbIHUXAnaLS78LSQw8j_VcSPZvtbmjHJSOUy2IxZRhN1eS9DEhAPby8fSRNiLkT_CeeHVoC3GhRqYmZ0RV6TD7I0zdSuYmxSXEbzOg,CmRaAAAAa456LA6PLpqKkU9vFo-lV8qK6yylXNiEFnVu7QRmOV_KACwCUmY5rfDBaKd_4nSPLf9Xt_i_OhEFAIwKpKTsv8d1p5J3PlD5RzH8tILFy46RnY7oiAd8l_LRv4iysUUfEhCYDpoANJgc8u8XGGd_-GUFGhStHqYrJip8LoFGt3NsI22QAAHOKw,CmRaAAAAkjMDyG3l8PjGhsKYsU_-wQ3uFTqSdu-wqt6Boyo9PCyorrPGRqN1igcyJ_r4GzFrNgBKAwZAzSb-WpdLKqsGdNCDxVjm2_wWKmJf1vA2yWsIk2c29PjP3CdaQzsolUdSEhDGFf5lRvIx5fgkWWEioXYOGhSegHN_6zySl3ixhAPtnWXGeLsB8A,CmRaAAAAa59umPjLK3a7MvqWdURO4nJ1JuTrgL02Ipqu_2onyzMSnnSKMpDEIomh7cJEthlA5-ItOI_nx8K9jE1CZv8glfmDCqUc0XJPvLq7PtumArx9fLyUTAUMfd6iyfvHj-WDEhDdpIbsj6f0v8shkLOcwLTYGhSf7SAKtz4KxmpuGwCPDapHYPhRXA,CmRaAAAAvArT1sy0ch1ieQamdvGbjois9EG5uKGM0Pg_AfTyAp8ydOCu_3LHVKnymcOqI1QPvsqUHyjwdkksH57o07GvmOgShNSPHl4X3XJP_NnGr6GepaziY-ACVmq4kFIASJjjEhBEhyAVZxFPZ3CmI9lCszTkGhQr4WSTF4_5z9eRn-hT1y4Vi8-wUA,CmRaAAAA_FeZ5OwCuXU9OT9IaW1jH-YukGZckF7GngAKMPQUyttOZ53ysjCqGPhbPE30rstSU0jkboBGPbvYDOcUVPKgpHiZWsxA774PC739t53DAP3A5rZwkq_2c2LMi9Nfx3LyEhCVmw1mcaHgcXDFOb7mtICOGhSo5ofqFvv2Ag2fJsnGVvNaTyQ_kA,,,,,,,,,,
161,60090Q,Rathdown School,http://www.rathdownschool.ie,Upper Glenageary Road,Glenageary,Co. Dublin,,Dublin,A96NX44,12853133.0,admin@rathdownschool.ie,MR. BRIAN MOORE,N,Girls,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,301,,301,CmRaAAAAS3vjHm5FjxuXCNUjAioc2k5iy_v9_vDwXdQf3Q3rVSRK8HGVPU_2bKOpGIk--lOCiscNjaofeUlFxuwETGM6rlNvMJq5cCabwuZxb_gf6vHIO-_WZg6PMulV631dngiMEhAxqGcQGriBfmX-XC38NP-oGhRyG7l_8XOTyCV9LU7329SLZwJa1A,CmRaAAAAPXwP5HvLtWuVf21YBGIk02BxGp1J4OIt_3H6JRsZjsfU_KbMKWP3veFMbplrevZ6eSyHlGtPEOL2TqMJUAMu5gPdso2-puxMRxVN5vbbVMvog_VIbG5g4R2zFwTprHdzEhC1D4V58UNcF4O-fEN0TSBoGhQw5N8I5wM8SfJm2R6X3t7gBRhw3A,CmRaAAAA_fKObujbpS5q8CboUdbHmtXPHWU_5CoisxX8xfmd1uKXXV3TIzMNC2E8d8L4SMiWS3v4BsBd907n-twaiqZb5Eh_-1FtHM6j1YME1qt60TE5bWtmv2CG3vrcOhdTDCwtEhAXM0IXO_e7KY9yyAWg1cRoGhT9fWj5-qc7M543Kz6OHSSO0OvShQ,CmRaAAAAQV552Lb99MMZi2blQaaVefHiT48q6ZZBAlCZrRmEhR9HQDgTJb1fMg15qj021dHiHut9AVZuLmRnZk4bRKDOIruJ2HVNXlfT19W0aS2P4RkcRh_Ova2ipPr-IO2LOjeOEhDn1RQCLW1_9AA6qjE_QJooGhQz94LgvT1a00nwAnl6RRMAdIToYw,CmRaAAAAHyfhoB7VTSdNpZo_oo2Q530IA9IdKb9R5hLS7Hj1TffRdhHYkWP--peI5T33KQVC26kX1rsiXqjpgRprFS9Z4w1Y9v_65kh_oRNphMVKz9l1Sme4W66vrvGV3kD7TkHcEhDtruJfUt-QGJRhbFNbcjroGhR_Krw7sfSYezIk3UUyf4rMsPphfw,CmRaAAAAiOexxLw3Ex21O3QEq2uMgmKVzDi-nN9MoVeL1AwWUAMr18XDkgbwjfzQ7gJLpAPxmjJ_UfE1c7NFskWJy3nVb7vpxBa8wSO5GXHC-bIsCwBbG5rAy4z392outRhsok0ZEhCDdzKStOAJ1rjhXEcX9YRxGhRWo9qgjOitF2teN2R16vNJ7vdqfw,CmRaAAAArgQhkC0qFN0DM4xlIUrgCx1iv8oBA_gLLkZ6krtzhi9BO3SqbJFSOwgR34MMOHzkxsVewDnUwNS9IiPER3d4R0w7IHztCvBfJrsPk5XT6f9k6Wh6D2cJ8vL63MOsnb1TEhBcDmdOD2_nBuP3Lu-3pyu6GhSvxLEFFjQaFQB7krKBdhHqeiPhCw,CmRaAAAAw05-etJzD3U87GZKy5_NkiojpGaQrHtUhkUMvG8k6YO3zDNS2XlON8MDY6vdz923r-hj7-ND1ftVl0493R33ZKJMp2Ol2WXD0Pe-s5TNFAzcAD3y9nI7iTWowTdmydKAEhCuVvyschO7jiRjOEt5ykFoGhTbt3a1AQmRZMAG9MREHxa554VDAA,,,,,,,,,,,,
162,60092U,Clonkeen College,http://www.clonkeencollege.ie,Clonkeen Road,Blackrock,Co Dublin,,Dublin,A94P206,12892709.0,reception@clonkeencollege.ie,MR. EDWARD MELLY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,540,540,CmRaAAAAwQ6mjDxo6saKP_udWRHbFenWhbbZni2W-Topo5wfbuyZJB3OsV50P0BCa2AAPGMuGSSPP1OBg69SolIZ2snkYkzP9xpsqGuKfnTOFvDBVB1Q5gUCqUzoEkV-kEgJsThnEhAEG-yyRIREuRRO0thRK80IGhQuuIzCNp_TmFDfoKo6Of62iHKxJA,CmRaAAAAd-CcOQMWBFKKil5vCs1t4iwJZEG4fWpvy5Acm-qvl_0ZO2oQrw_KjIS3ENO4MMtNsbA6mo3nHZ3udjmF95l_Og0FAzWpLrj8ZpaYiSn5kQgLbJxWRM1LI7O45bH2zVyaEhByUnFE0WWPZ3qJHxJLjAjlGhSjjN51oKdyzNlS8WtQkTwJ483bTg,CmRaAAAAnB_TpOaoKhzymJL_f8XLWpHvOBcrbjHbWKVtHt8Sb9VOpVLi5F0rdonS4dViicTh8WxvR2UOYCW6YK762ZiVMwSAMBqPFNh4OzwRDrtDkhB4UI1T5X-q6fYFUcb5gO25EhA7Q7Qk9I37wLqDyzDMO1JtGhSOkvmZfXjOSfiwc5F4UMVQrZYKEA,,,,,,,,,,,,,,,,,
163,60100Q,Castleknock College,https://www.castleknockcollege.ie,Castleknock,Dublin 15,,,Dublin,D15PD95,18213051.0,info@castleknockcollege.ie,MR. OLIVER MURPHY,N,Boys,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,,643,643,,,,,,,,,,,,,,,,,,,,
164,60120W,Mount Sackville Secondary School,http://mountsackville.ie,Chapelizod,Dublin 20,,,Dublin,D20WP68,18213317.0,info@mountsackville.ie,MRS. EILEEN HIGGINS,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,680,,680,,,,,,,,,,,,,,,,,,,,
165,60121B,Moyle Park College,https://moyleparkcollege.ie,Clondalkin,Dublin 22,,,Dublin,D22V072,14574837.0,info@moyleparkcollege.ie,MS. NIAMH CAHALANE,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,726,726,,,,,,,,,,,,,,,,,,,,
166,60122D,Coláiste Bríde,http://www.colaistebride.com,New Road,Clondalkin,Dublin 22,,Dublin,D22C6Y2,14591158.0,apanikova@colaistebride.com,MISS MARIE THERESE KILMARTIN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,971,,971,CmRaAAAAWyZDDn-mOTWsEzdlzikT7RXR5nkujBRkrzSZgdf86w-zOipt2Nk2D9aRagkrZfW5mVplfiLcZGlYMFtj8x9biYpYhUvnui1JO-HvWWit0BwkiKiYdjD13ErlqNW1OReTEhB8TgbmMlVWNzayvv7qs1K9GhTsgGE6g4l08a8h6d9P-tXfZeCtIA,CmRaAAAA_1aAK-5AAVSxaaCeAmgDWioqjrKh-BZubf6m2zWaLCQeXhM8Ps3dfvLYtxiaucOglKG9_IgjBxBUU-rIpxlrp79vb64uRXbwSKjln76AMMVeuTRPxMAQvJivUF8SajgQEhD6ctfnwETKx_ZuHlwNtebwGhTnbteWY605INlV92kLe0aDIvrCZA,CmRaAAAANs5j5Fk7AjNIVtSx3ILfid2g1WasLOdEZHo7xGdysTx4CL_dP1zQ_kyZ7UoP8wrfjATFSgUSawdpWbE2l6P7b9GOT5pTMHuwpFv9mLvoTmSQcDG2fA-Ayqay8uoATK9-EhATYXdsRLcueMHlp0sRfsdSGhQw6VlC82tCxiQ97NoDSJ7I8e2o_A,CmRaAAAAaG1v8Gg3kZtVEp9tpgdq_EqqhCYrc_n_KnwgRSFa97FUaXHatS5DqrAXwRfSJJn7fqAD4mbKLJ4CDNThVMV7qKMqiMxVXuLYEK79KMctL0ava8RwvXW7LifWEoDUwPRbEhAkj1dYHbIIoTfhqT0kph4sGhQcuqkbdIR0m7zmVdn5WbcNQOjfYQ,CmRaAAAA4Xi0Fum4jm2f61XKx4jQF216F5JOpXJ5ldje3nBTrMhd5T-WxDVKGDnwHJYdvg_SDcuoqLQ_mN7fYEv5J_I-q-2DdbUM5WSdsJ1pI9wgK7jjHfcEYQ5bxwRfxczGvfmPEhADX1vfJB5VFu5Uu-qfWfGqGhR1M5YRgGr8LUric3-BO89To_YUWQ,,,,,,,,,,,,,,,
167,60130C,Loreto Abbey Secondary School,https://www.loretoabbeydalkey.com,Dalkey,Co Dublin,,,Dublin,A96YC81,12718900.0,office@loretoabbeydalkey.ie,MR. ROBERT DUNNE,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,622,,622,CmRaAAAAIJk8GQ6nR0upYWongaV8ibZPWR9Olpwk0x_PIr2jRJuAlkAV7TfDp1dcEOrwprl4q14IjYlDcvh_TM64MnYHTM-CseXV4DArisZdogiB3jZygMcxJd64tm05kyerhJy9EhCSflM-vT_ksRRaBTBnOsnwGhTVKVmCsETHiu4tjw5LcLSZ278Jeg,,,,,,,,,,,,,,,,,,,
